"ST","AGEP","CIT","MAR","SCHL","SEX","ESR","RAC1P","HISP","PINCP","PWGTP"
33,48,1,1,21,2,1,1,1,29100,17
33,46,1,1,24,1,1,1,1,176600,20
33,16,1,5,14,1,1,1,1,350,18
33,13,1,5,11,2,NA,1,1,NA,16
33,75,1,1,16,1,6,1,1,13100,7
33,70,1,1,16,2,6,1,1,5600,5
33,67,1,1,21,1,6,1,1,52900,21
33,67,1,1,20,2,6,1,1,13100,20
33,45,1,5,21,1,1,1,1,22000,50
33,43,1,1,19,2,1,1,1,48000,5
33,47,1,1,16,1,1,1,1,60000,7
33,16,1,5,14,1,1,1,1,1000,4
33,14,1,5,13,2,NA,1,1,NA,4
33,9,1,5,6,1,NA,1,1,NA,6
33,84,1,2,16,1,6,1,1,35300,4
33,55,1,1,22,1,3,1,1,32160,14
33,53,1,1,18,2,6,1,1,1400,19
33,27,1,5,21,2,1,1,1,10400,33
33,18,1,5,19,2,6,1,1,0,13
33,32,1,1,16,1,1,1,1,67000,50
33,31,1,1,20,2,1,1,1,37000,64
33,2,1,5,NA,2,NA,1,1,NA,81
33,42,1,3,16,2,1,1,1,55000,17
33,19,1,5,16,2,1,1,1,13000,18
33,18,1,5,15,2,6,1,1,1500,18
33,17,1,5,14,1,1,1,1,1000,22
33,58,1,1,21,1,1,1,1,107200,25
33,55,1,1,21,2,1,1,1,53170,23
33,42,1,1,21,1,1,9,1,60000,13
33,44,1,1,20,2,1,1,1,20000,21
33,6,1,5,4,1,NA,9,1,NA,26
33,83,1,1,14,2,6,1,1,6400,8
33,81,4,1,16,1,6,1,1,13600,13
33,45,1,1,19,2,1,1,1,25400,14
33,36,1,1,16,1,1,1,1,25800,20
33,39,1,1,18,2,1,1,1,36200,29
33,47,4,1,22,1,1,1,1,74400,28
33,4,1,5,2,1,NA,1,1,NA,33
33,3,1,5,1,2,NA,1,1,NA,31
33,45,2,1,21,1,1,1,3,110000,23
33,43,1,1,21,2,1,1,1,6000,28
33,19,1,5,16,1,3,1,3,2500,30
33,17,1,5,16,2,3,1,3,2500,27
33,10,1,5,7,1,NA,1,3,NA,17
33,51,1,1,21,2,1,1,1,56000,24
33,44,4,1,21,1,1,1,1,120200,32
33,63,1,1,20,1,1,1,1,70850,21
33,60,1,1,16,2,6,1,1,0,20
33,41,3,1,16,1,1,1,1,45000,5
33,39,1,1,19,2,6,1,1,0,5
33,17,1,5,13,2,1,1,1,750,6
33,21,1,5,17,2,1,1,1,1600,4
33,2,1,5,NA,2,NA,1,3,NA,5
33,65,1,1,19,2,2,1,1,23200,17
33,66,1,1,16,1,6,1,1,19000,20
33,61,4,1,14,1,1,1,1,86550,46
33,48,1,1,15,2,6,1,1,0,45
33,23,1,5,16,1,3,1,1,1900,48
33,12,1,5,8,1,NA,1,1,NA,31
33,85,1,2,11,2,6,1,1,0,14
33,43,1,1,19,2,1,1,1,42600,18
33,47,1,1,21,1,1,1,1,54000,17
33,17,1,5,14,1,1,1,1,3000,19
33,15,1,5,12,1,NA,1,1,500,19
33,93,1,2,16,1,6,1,1,12500,13
33,50,1,1,21,2,1,1,1,100000,6
33,34,5,1,21,1,1,6,1,90500,21
33,33,5,1,21,2,6,6,1,0,13
33,5,1,5,2,2,NA,6,1,NA,17
33,0,1,5,NA,2,NA,6,1,NA,27
33,19,1,5,18,1,2,9,1,354000,25
33,37,1,5,20,2,6,1,1,12000,18
33,2,1,5,NA,2,NA,1,1,NA,16
33,51,1,5,16,2,1,1,1,21370,24
33,17,1,5,13,2,1,1,1,6300,24
33,42,5,1,21,2,1,1,1,93000,15
33,40,5,1,19,1,1,1,1,18800,17
33,77,1,1,21,1,6,1,1,64800,18
33,75,1,1,16,2,6,1,1,9200,14
33,50,1,5,1,1,1,1,1,16400,23
33,83,1,2,16,2,6,1,1,14400,64
33,61,1,2,19,1,1,1,1,29300,27
33,83,1,1,16,1,6,1,1,31500,5
33,81,1,1,16,2,6,1,1,16000,6
33,20,1,5,19,2,6,1,1,490,33
33,18,1,5,16,2,6,1,1,1000,20
33,36,1,1,16,1,1,1,1,36000,6
33,30,1,1,17,2,1,1,1,26000,5
33,14,1,5,10,1,NA,1,1,NA,4
33,65,1,1,16,1,1,1,1,68100,6
33,65,1,1,16,2,6,1,1,21400,8
33,57,1,1,19,1,6,1,1,3000,18
33,56,3,1,19,2,6,1,1,0,17
33,57,1,1,24,1,1,1,1,164240,17
33,55,5,1,21,2,1,1,1,31040,18
33,16,1,5,13,1,1,1,1,4500,24
33,9,1,5,6,1,NA,1,1,NA,23
33,9,1,5,6,2,NA,1,1,NA,22
33,66,1,1,16,1,1,1,1,15100,12
33,65,1,1,16,2,6,1,1,9000,6
