"ST","AGEP","CIT","MAR","SCHL","SEX","ESR","RAC1P","PINCP","PWGTP"
44,21,1,5,19,1,6,1,6000,33
44,18,1,5,18,2,1,1,4000,16
44,50,1,1,18,1,1,2,71000,19
44,56,1,1,21,2,1,2,34000,12
44,88,3,2,19,2,6,1,3000,12
44,46,5,4,7,2,1,2,19000,46
44,23,4,5,16,1,1,2,24000,44
44,15,1,5,11,2,NA,2,0,33
44,32,1,1,13,1,3,1,28000,46
44,34,1,1,13,2,6,1,0,49
44,5,1,5,1,1,NA,1,NA,56
44,6,1,5,2,1,NA,1,NA,55
44,46,1,1,13,1,1,1,38000,44
44,42,1,1,13,2,6,1,0,39
44,21,1,5,18,2,1,1,18000,54
44,17,1,5,13,1,6,1,0,42
44,40,1,4,16,1,4,1,56000,17
44,21,1,5,18,2,1,1,4600,11
44,1,1,5,NA,2,NA,1,NA,13
44,52,1,1,16,1,1,1,70000,14
44,87,1,2,19,2,6,1,4800,16
44,62,1,5,17,1,3,1,0,20
44,52,1,4,16,2,1,1,59000,12
44,28,1,5,16,1,1,1,22000,13
44,43,2,3,9,2,1,1,21910,12
44,21,2,5,15,2,6,1,2400,19
44,18,2,5,14,2,1,1,18300,13
44,20,1,5,14,2,3,1,9400,13
44,77,1,1,21,1,1,1,31000,13
44,64,1,1,21,2,6,1,6800,13
44,34,1,5,19,1,1,1,38000,19
44,34,1,1,21,2,1,1,30000,29
44,37,1,1,21,1,1,1,150000,16
44,81,1,2,15,1,6,1,19000,18
44,54,1,3,19,1,4,1,10000,20
44,38,1,5,18,1,3,1,11000,40
44,50,1,5,19,1,1,1,37000,42
44,45,4,3,13,1,1,1,30000,33
44,50,1,3,16,2,6,1,0,31
44,67,1,2,11,1,1,1,29600,20
44,54,1,1,19,2,1,1,27000,12
44,59,1,1,18,1,1,1,90000,12
44,88,1,2,13,2,6,1,10840,47
44,31,2,5,21,1,6,8,40000,15
44,80,1,2,16,2,6,1,24000,13
44,44,1,1,21,1,1,1,45000,20
44,50,1,1,19,2,1,1,57000,17
44,51,1,2,18,2,3,1,0,16
44,35,1,5,16,1,1,1,40000,57
44,53,4,3,20,1,6,1,20950,14
44,31,1,1,20,2,1,1,40000,17
44,30,1,1,18,1,1,1,38000,14
44,55,1,1,19,1,1,1,32000,19
44,35,1,1,16,2,1,1,22000,21
44,58,1,1,18,2,1,1,36200,13
