"ST","AGEP","CIT","MAR","SCHL","SEX","ESR","RAC1P","HISP","PINCP","PWGTP"
31,37,1,1,22,1,6,1,1,1000,33
31,37,1,1,23,2,1,1,1,326000,32
31,7,1,5,3,1,NA,1,1,NA,33
31,6,1,5,2,1,NA,1,1,NA,33
31,5,1,5,2,2,NA,1,1,NA,32
31,45,1,1,19,1,1,1,1,50000,9
31,38,1,1,19,2,1,1,1,28000,9
31,8,1,5,6,1,NA,1,1,NA,6
31,5,1,5,2,1,NA,1,1,NA,6
31,3,1,5,1,1,NA,1,1,NA,10
31,38,1,5,18,1,6,1,1,0,7
31,29,1,5,16,1,1,1,1,30000,73
31,11,1,5,8,1,NA,1,1,NA,73
31,29,1,5,19,2,1,1,1,25000,72
31,16,1,5,11,1,6,1,1,0,19
31,49,1,1,18,1,1,1,1,60000,3
31,51,1,1,21,2,1,1,1,45000,6
31,12,1,5,8,1,NA,1,1,NA,4
31,10,1,5,6,1,NA,1,1,NA,4
31,57,1,1,21,1,1,1,1,6290,7
31,56,1,1,18,2,1,3,1,44590,20
31,23,1,5,19,1,3,1,1,0,19
31,61,1,1,19,1,1,1,1,75000,6
31,58,1,1,19,2,1,1,1,39000,6
31,55,1,1,19,1,6,2,1,22000,26
31,60,1,1,17,1,1,1,1,35200,31
31,61,4,1,16,2,1,1,1,36200,30
31,41,5,1,11,1,1,1,1,30000,24
31,35,5,1,19,2,1,1,1,10000,22
31,16,5,5,12,2,6,1,1,0,22
31,48,1,1,18,1,1,1,1,26000,24
31,48,1,1,13,2,6,1,1,0,23
31,15,1,5,12,2,NA,1,1,200,32
31,43,1,2,19,2,1,1,1,20500,38
31,33,1,1,16,2,1,1,1,31000,21
31,36,1,1,16,1,1,1,1,54000,21
31,6,1,5,2,2,NA,1,1,NA,17
31,56,1,1,20,2,1,1,1,60000,8
31,59,1,1,20,1,1,1,1,75000,11
31,56,1,1,16,1,1,1,1,39100,10
31,57,1,1,16,2,1,1,1,44000,8
31,70,1,1,18,1,1,1,1,78600,31
31,68,1,1,17,2,1,1,1,12900,33
31,26,1,1,21,2,1,1,1,28800,30
31,25,1,1,20,1,1,1,1,22300,22
31,5,1,5,2,2,NA,1,1,NA,24
31,3,1,5,1,2,NA,1,1,NA,25
31,0,1,5,NA,1,NA,1,1,NA,20
31,35,1,1,16,1,1,1,1,75000,21
31,35,1,1,16,2,2,9,2,9000,27
31,14,1,5,11,1,NA,9,2,NA,11
31,12,1,5,7,2,NA,9,2,NA,10
31,10,1,5,7,2,NA,9,2,NA,10
31,59,1,1,20,1,1,1,1,42200,21
31,58,1,1,21,2,1,1,1,53000,19
31,59,1,1,17,1,1,1,1,58200,8
31,56,1,1,16,2,1,1,1,45000,11
31,26,1,5,21,2,1,1,1,51000,23
31,72,1,1,16,1,1,1,1,25700,6
31,64,1,1,16,2,1,1,1,11700,7
31,43,1,3,16,1,1,1,1,35000,5
31,54,1,1,16,1,1,1,1,37390,17
31,51,1,1,19,2,1,1,1,10000,28
31,35,1,1,21,1,1,1,1,56000,20
31,35,1,1,21,2,1,1,1,56000,23
31,7,1,5,4,1,NA,1,1,NA,21
31,5,1,5,2,1,NA,1,1,NA,21
31,1,1,5,NA,2,NA,1,1,NA,28
31,52,1,1,20,1,1,1,1,25000,9
31,53,1,1,16,2,1,1,1,20000,12
31,64,1,3,19,2,1,1,1,10500,20
31,81,1,2,18,1,6,1,1,13300,35
31,40,1,1,22,2,1,1,1,18000,27
31,15,1,5,12,1,NA,1,1,0,27
31,11,1,5,8,1,NA,1,1,NA,23
31,71,1,3,21,1,6,1,1,54510,2
31,38,1,3,19,1,1,1,1,37420,15
31,15,1,5,11,1,NA,1,1,0,10
31,20,1,5,19,1,1,1,1,28000,32
31,32,1,1,21,2,1,1,1,36000,45
31,14,1,5,10,1,NA,1,1,NA,30
31,7,1,5,3,1,NA,1,1,NA,30
31,86,1,1,11,1,6,1,1,21400,6
31,80,1,1,16,2,6,1,1,5600,5
31,35,1,1,19,1,1,1,1,17000,20
31,36,1,1,19,2,1,1,1,40000,25
31,7,1,5,4,1,NA,1,1,NA,25
31,3,1,5,1,2,NA,1,1,NA,21
31,15,1,5,12,1,NA,1,1,0,20
31,43,1,1,16,1,1,1,1,35000,5
31,43,1,1,20,2,1,1,1,68000,5
31,14,1,5,11,1,NA,1,1,NA,4
31,10,1,5,8,2,NA,1,1,NA,5
31,41,1,3,18,2,6,1,1,10300,38
31,13,1,5,9,1,NA,1,1,NA,40
