"ST","AGEP","CIT","MAR","SCHL","SEX","ESR","RAC1P","PINCP","PWGTP"
28,49,1,4,16,2,6,2,13200,5
28,29,1,5,21,1,1,1,28000,32
28,34,1,3,20,1,1,1,14800,63
28,31,1,5,22,1,1,1,34000,63
28,52,1,1,21,2,1,9,17000,68
28,18,1,5,14,1,1,9,8000,80
28,21,1,5,16,2,2,2,930,31
28,0,1,5,NA,1,NA,2,NA,35
28,37,1,1,16,1,1,1,25000,7
28,36,1,1,15,2,6,1,3150,8
28,14,1,5,12,2,NA,1,NA,7
28,7,1,5,5,2,NA,1,NA,8
28,5,1,5,2,1,NA,1,NA,7
28,13,1,5,11,1,NA,1,NA,6
28,79,1,3,16,2,6,1,7200,13
28,35,1,3,20,1,1,1,38000,15
28,46,1,3,16,2,1,2,10000,8
28,37,1,5,19,1,6,2,10600,14
28,70,1,2,17,2,6,1,6200,10
28,74,1,3,17,2,1,2,29900,20
28,67,1,2,13,2,6,1,29200,26
28,60,1,1,22,2,1,1,53600,17
28,62,1,1,20,1,1,1,43600,15
28,80,1,5,24,1,6,1,15000,14
28,60,1,1,19,2,6,1,19200,4
28,58,1,1,21,1,1,1,50000,4
28,76,1,1,14,1,1,1,54500,2
28,73,1,1,13,2,6,1,8900,4
28,70,1,2,15,2,6,1,26500,15
28,31,1,5,19,1,1,1,30010,23
28,89,1,2,16,2,6,1,11500,14
28,28,1,1,16,2,6,2,0,12
28,80,1,1,9,1,6,2,6900,10
28,58,1,1,14,2,6,2,2100,10
28,13,1,5,11,1,NA,2,NA,9
28,31,1,4,20,2,1,2,30000,35
28,12,1,5,9,2,NA,2,NA,28
28,8,1,5,5,1,NA,2,NA,37
28,19,1,5,16,2,6,2,0,32
28,2,1,5,NA,2,NA,2,NA,23
28,1,1,5,NA,1,NA,2,NA,29
28,21,1,5,19,1,3,2,0,35
28,53,1,5,18,2,1,1,25000,11
28,70,1,3,13,2,6,1,8800,15
28,34,1,5,16,1,6,2,8000,28
28,82,1,2,16,2,6,1,23000,18
28,55,1,3,24,2,1,2,106000,14
28,44,1,5,21,2,1,1,42000,12
28,36,1,5,22,2,1,2,47000,19
28,26,1,1,20,2,1,1,28000,7
28,30,1,1,18,1,1,1,23000,14
28,7,1,5,4,2,NA,1,NA,10
28,4,1,5,2,1,NA,1,NA,8
28,2,1,5,NA,2,NA,1,NA,7
28,62,1,1,22,1,1,1,46700,13
28,63,1,1,21,2,1,1,57600,12
