"ST","AGEP","CIT","MAR","SCHL","SEX","ESR","RAC1P","PINCP","PWGTP"
15,81,5,1,8,2,6,7,0,12
15,44,1,3,21,2,1,6,15010,14
15,72,1,1,16,2,6,9,18000,17
15,74,1,1,18,1,6,1,30300,15
15,57,1,5,21,1,6,6,19000,14
15,42,1,5,22,2,1,1,57000,6
15,82,1,2,19,2,6,6,30200,15
15,52,1,5,16,1,1,6,16900,17
15,64,1,5,21,1,6,9,8400,16
15,59,1,3,16,1,6,9,0,19
15,31,1,5,21,2,1,9,60000,15
15,57,4,1,20,1,1,6,52000,14
15,46,4,1,17,2,1,6,30000,15
15,13,1,5,11,2,NA,6,NA,15
15,12,1,5,10,2,NA,6,NA,15
15,36,1,1,22,1,1,1,72000,13
15,35,1,1,22,2,1,1,72000,15
15,39,1,5,21,2,1,6,48500,17
15,20,1,5,19,2,1,6,2200,12
15,50,1,4,21,2,1,6,60000,16
15,26,1,1,19,1,4,1,40000,24
15,24,1,1,16,2,6,1,800,22
15,1,1,5,NA,1,NA,1,NA,29
15,0,1,5,NA,2,NA,1,NA,31
15,4,1,5,1,1,NA,1,NA,29
15,63,1,2,16,2,1,9,30000,20
15,75,4,2,12,2,6,6,22000,14
15,35,1,5,19,2,1,7,3500,14
15,1,1,5,NA,2,NA,7,NA,25
15,32,3,5,19,1,4,1,40000,18
15,49,5,1,20,1,1,8,45000,24
15,51,4,1,21,2,1,6,16000,23
15,51,1,5,16,2,1,1,3500,4
15,13,1,5,9,2,NA,1,NA,14
15,88,1,1,21,1,6,6,55410,14
15,76,4,1,18,2,6,6,17800,14
15,50,1,5,24,1,1,6,67800,14
15,54,1,1,21,1,1,9,139900,19
15,47,1,1,21,2,1,6,101000,18
15,13,1,5,9,2,NA,9,NA,17
15,11,1,5,8,2,NA,9,NA,17
15,55,1,3,21,2,1,6,63600,12
15,27,1,5,23,1,1,6,95000,14
15,52,1,5,16,2,1,7,30000,7
15,47,1,2,16,2,1,7,87030,7
15,30,1,5,16,1,1,9,25000,13
15,35,1,1,19,1,4,1,82000,16
15,38,1,1,21,2,6,1,12280,15
15,6,1,5,2,1,NA,1,NA,16
15,3,1,5,1,2,NA,1,NA,16
15,18,1,5,16,2,1,1,2600,22
15,12,1,5,9,2,NA,1,NA,22
15,9,1,5,6,2,NA,1,NA,21
15,29,1,1,16,1,1,6,80000,36
15,24,1,1,21,2,1,6,40000,16
15,66,4,1,14,1,1,6,13010,14
15,63,5,1,15,2,1,6,9600,13
