"ST","AGEP","CIT","MAR","SCHL","SEX","ESR","RAC1P","HISP","PINCP","PWGTP"
54,48,1,4,11,2,6,2,1,8400,19
54,46,1,1,16,1,1,1,1,61060,36
54,44,1,1,16,2,1,1,1,49000,35
54,29,1,1,16,2,1,1,1,30000,38
54,31,1,1,12,1,1,1,1,28000,45
54,10,1,5,7,1,NA,1,1,NA,37
54,7,1,5,4,1,NA,1,1,NA,36
54,23,1,5,13,2,1,1,1,24000,49
54,71,4,1,23,1,6,1,23,56000,11
54,56,1,1,16,2,6,1,1,0,19
54,66,1,2,14,2,1,1,1,11100,19
54,43,1,5,16,1,6,1,1,7600,20
54,23,1,5,16,1,1,1,1,17500,28
54,47,1,1,21,1,1,1,1,42000,18
54,41,1,1,22,2,1,1,1,42000,17
54,13,1,5,11,2,NA,1,1,NA,21
54,11,1,5,8,1,NA,1,1,NA,24
54,23,1,5,13,1,1,1,1,12060,9
54,59,1,1,17,2,6,1,1,0,17
54,63,1,1,17,1,6,1,1,36500,18
54,61,1,3,16,2,6,1,1,23200,6
54,20,1,5,19,1,1,1,1,8000,7
54,28,1,3,16,2,1,1,1,39000,5
54,10,1,5,7,1,NA,1,1,NA,8
54,4,1,5,1,1,NA,1,1,NA,9
54,32,3,3,16,1,1,1,1,39000,6
54,57,1,3,14,1,6,1,1,50,18
54,55,1,2,14,2,6,1,1,30300,17
54,57,1,3,22,2,6,1,1,1900,16
54,18,1,5,16,1,1,1,1,3150,46
54,58,1,3,16,2,6,1,1,8000,21
54,68,1,1,16,1,6,1,1,9900,26
54,67,1,1,16,2,6,1,1,10300,31
54,60,1,1,21,1,6,1,1,14000,16
54,60,1,1,19,2,1,1,1,2400,15
54,57,1,1,11,1,1,1,1,24000,15
54,58,1,1,16,2,2,1,1,7100,12
54,68,1,3,11,1,6,1,1,8400,12
54,75,1,2,20,1,6,1,1,12500,8
54,23,1,1,24,1,1,1,1,10000,11
54,23,1,1,23,2,6,1,1,18000,13
54,74,1,3,11,2,6,1,1,6600,3
54,39,1,5,16,1,6,1,1,0,4
54,40,1,4,22,2,1,1,1,64000,89
54,7,1,5,4,2,NA,1,1,NA,78
54,49,1,1,16,1,1,1,1,10,6
54,49,1,1,16,2,1,1,1,16000,8
54,39,1,4,16,2,6,1,1,7300,19
54,24,1,5,21,2,6,1,1,4000,21
54,24,1,5,21,1,6,1,1,1500,20
54,53,1,3,16,1,1,1,1,14000,59
54,14,1,5,10,1,NA,1,1,NA,42
54,40,1,3,16,2,1,1,1,3900,51
54,18,1,5,14,2,6,1,1,0,23
