"ST","AGEP","CIT","MAR","SCHL","SEX","ESR","RAC1P","PINCP","PWGTP"
16,39,1,1,20,2,1,1,32000,15
16,11,1,5,8,2,NA,1,NA,17
16,9,1,5,6,1,NA,1,NA,18
16,67,1,3,16,1,6,1,30310,5
16,35,1,5,21,1,1,1,36000,21
16,62,1,1,22,2,6,1,0,19
16,36,5,1,12,2,6,6,0,15
16,32,5,1,11,1,1,6,12000,22
16,17,5,5,14,2,6,6,1400,21
16,16,5,5,13,1,6,6,0,27
16,11,1,5,8,2,NA,6,NA,20
16,9,1,5,6,1,NA,6,NA,30
16,0,1,5,NA,1,NA,6,NA,13
16,67,1,5,20,2,6,1,28700,18
16,33,1,1,19,2,1,1,30600,12
16,37,5,1,1,1,1,1,29600,16
16,57,5,2,1,2,6,1,0,9
16,46,1,1,13,2,1,1,10400,17
16,47,1,1,19,1,3,1,19500,21
16,23,1,5,16,2,1,1,3000,20
16,15,1,5,12,2,NA,1,0,19
16,11,1,5,8,2,NA,1,NA,15
16,44,1,1,22,1,1,1,321000,54
16,45,1,1,19,2,1,1,33300,64
16,3,1,5,2,2,NA,1,NA,57
16,31,1,1,18,2,1,1,37800,20
16,29,1,1,18,1,1,7,25600,12
16,3,1,5,2,1,NA,7,NA,38
16,25,1,5,1,1,1,1,175000,24
16,68,1,1,22,1,6,1,8701,16
16,67,1,1,21,2,6,1,15100,16
16,82,1,1,12,1,6,1,24600,7
16,82,1,1,19,2,6,1,11800,5
16,55,1,1,16,2,1,1,14300,21
16,69,1,1,19,1,6,1,17800,17
16,17,1,5,14,2,6,1,10100,23
16,78,1,1,13,1,6,1,25400,25
16,77,1,1,16,2,6,1,33800,24
16,51,1,1,17,1,3,1,8300,20
16,39,1,1,17,2,1,1,23900,13
16,19,1,5,17,2,6,1,2140,12
16,17,1,5,13,2,6,1,5500,6
16,13,1,5,10,2,NA,1,NA,16
16,82,1,1,17,1,6,1,18300,6
16,80,1,1,13,2,6,1,38090,5
16,46,1,1,18,1,1,1,58030,13
16,42,1,1,20,2,1,1,33630,14
16,14,1,5,11,1,NA,1,NA,23
16,11,1,5,8,2,NA,1,NA,18
16,30,1,1,20,2,1,1,14000,30
16,34,1,1,19,1,1,1,22000,53
16,7,1,5,4,1,NA,1,NA,45
16,3,1,5,1,2,NA,1,NA,48
16,0,1,5,NA,1,NA,1,NA,30
16,34,1,1,21,1,1,1,70000,25
16,36,1,1,20,2,1,1,40000,21
16,9,1,5,5,1,NA,1,NA,18
16,56,1,1,18,1,6,1,10000,7
16,59,1,1,20,2,1,1,12000,6
16,72,1,2,16,2,6,1,27900,16
16,71,1,1,11,1,6,1,18700,16
16,59,1,1,16,2,1,1,28000,12
16,29,1,1,23,1,1,1,95000,18
16,27,1,1,21,2,1,1,30000,15
16,50,1,1,21,2,1,1,44000,16
16,66,1,1,22,1,6,3,9400,26
16,20,1,5,17,1,3,9,0,29
16,18,1,5,16,1,1,9,7800,30
16,9,1,5,6,2,NA,9,NA,17
16,32,1,1,21,1,1,9,45000,17
16,35,1,1,20,2,1,1,54000,17
16,5,1,5,2,1,NA,9,NA,18
16,2,1,5,NA,2,NA,9,NA,17
16,52,1,3,19,2,6,1,11620,18
16,76,1,1,16,1,1,1,48900,24
16,76,1,1,18,2,6,1,11600,25
16,27,1,3,22,2,1,1,31000,22
16,71,1,1,15,1,1,1,93100,30
16,62,1,1,12,2,6,1,0,23
16,60,1,1,21,2,6,1,2000,13
16,60,1,1,23,1,1,1,97000,13
16,55,1,1,17,2,1,1,13000,20
16,33,1,1,16,1,1,1,50000,19
16,35,1,1,18,2,6,1,17200,32
16,11,1,5,8,1,NA,1,NA,22
16,5,1,5,1,1,NA,1,NA,22
16,17,1,5,14,2,6,1,0,22
16,15,1,5,12,2,NA,1,0,22
16,37,1,1,19,2,1,1,29000,7
16,31,2,1,20,1,1,1,30000,4
16,14,1,5,11,1,NA,1,NA,5
16,39,1,3,17,2,3,1,1830,18
16,14,1,5,12,1,NA,1,NA,17
16,11,1,5,9,2,NA,1,NA,20
16,48,1,1,19,1,1,1,65020,15
16,50,1,1,16,2,1,1,32720,15
16,15,1,5,12,1,NA,1,0,12
16,41,1,1,21,1,1,1,43700,13
16,38,1,1,20,2,6,1,0,16
16,9,1,5,6,1,NA,1,NA,16
16,5,1,5,3,2,NA,1,NA,14
16,0,1,5,NA,1,NA,1,NA,11
16,33,1,1,16,1,1,1,99100,3
16,36,1,1,19,2,6,1,1100,6
16,6,1,5,4,2,NA,1,NA,5
16,4,1,5,2,2,NA,1,NA,5
16,12,1,5,8,1,NA,9,NA,2
16,50,1,1,21,1,1,1,86000,13
16,47,1,1,19,2,6,1,0,14
16,18,1,5,16,1,1,1,4000,11
16,16,1,5,12,1,6,1,0,19
16,9,1,5,6,1,NA,1,NA,20
16,5,1,5,2,2,NA,1,NA,20
16,88,1,2,16,2,6,1,11400,12
16,65,1,1,16,1,1,1,42301,2
16,70,1,1,16,2,6,1,0,4
16,25,1,5,16,2,6,1,12600,19
16,2,1,5,NA,2,NA,1,NA,19
16,1,1,5,NA,1,NA,1,NA,19
16,41,1,1,17,1,1,1,38000,19
16,26,1,1,15,2,6,1,850,15
16,6,1,5,1,2,NA,1,NA,18
16,4,1,5,1,1,NA,1,NA,16
