"ST","AGEP","CIT","MAR","SCHL","SEX","ESR","RAC1P","PINCP","PWGTP"
5,35,5,1,16,2,6,1,0,5
5,8,1,5,5,2,NA,1,NA,5
5,2,1,5,NA,2,NA,1,NA,11
5,74,1,2,16,2,6,1,13100,5
5,48,1,3,16,2,1,1,16100,9
5,16,1,5,14,1,6,1,4000,6
5,56,1,1,19,1,1,8,47500,29
5,47,1,1,18,2,1,1,59000,16
5,24,1,5,21,2,1,9,5200,13
5,18,1,5,16,1,6,9,8600,23
5,26,1,5,19,2,6,1,0,27
5,85,1,2,20,2,6,1,18800,13
5,73,1,1,13,1,1,1,28500,12
5,67,1,1,16,2,6,1,8700,13
5,26,1,5,21,1,1,1,40000,11
5,23,1,5,21,2,6,1,6000,14
5,50,1,1,18,1,1,2,22700,26
5,47,1,1,16,2,1,2,22700,19
5,22,1,5,19,1,1,2,7900,9
5,10,1,5,6,2,NA,2,NA,10
5,9,1,5,6,2,NA,2,NA,9
5,51,1,1,19,1,1,1,6800,32
5,42,1,1,21,2,6,1,13000,25
5,4,1,5,2,1,NA,1,NA,23
5,2,1,5,NA,2,NA,1,NA,28
5,67,1,1,17,1,6,1,26300,31
5,64,1,1,16,2,6,1,7200,29
5,73,1,2,16,2,6,1,0,13
5,42,1,1,18,1,1,1,44100,37
5,34,1,1,20,2,1,1,18600,30
5,11,1,5,8,1,NA,1,NA,26
5,9,1,5,6,2,NA,1,NA,27
5,52,1,1,16,1,1,1,18000,4
5,48,1,1,16,2,6,1,2400,5
5,23,1,3,16,2,6,1,8000,3
5,3,1,5,1,2,NA,1,NA,3
5,1,1,5,NA,2,NA,1,NA,4
5,49,1,1,21,1,1,1,51290,19
5,49,1,1,19,2,1,1,85070,19
5,25,5,5,14,1,1,7,17400,7
5,1,1,5,NA,2,NA,7,NA,8
5,0,1,5,NA,2,NA,7,NA,8
5,23,5,5,16,2,6,7,4500,13
5,47,1,1,22,2,1,1,36000,17
5,53,1,1,17,1,6,1,34000,15
5,74,1,2,14,2,6,1,8400,18
5,76,1,2,1,2,6,1,7900,21
5,64,1,1,17,1,1,1,34900,24
5,41,1,1,21,2,1,1,27000,19
5,89,1,1,16,1,6,1,23900,20
5,84,1,1,16,2,6,1,4900,19
5,19,1,5,19,1,6,1,2500,33
5,39,4,3,16,2,1,8,48000,31
5,13,1,5,10,1,NA,8,NA,46
5,7,1,5,4,2,NA,8,NA,37
