"ST","AGEP","CIT","MAR","SCHL","SEX","ESR","RAC1P","HISP","PINCP","PWGTP"
56,49,1,5,22,2,1,1,1,39000,14
56,25,1,1,21,2,1,1,1,14400,12
56,29,1,1,16,1,1,1,1,55000,12
56,1,1,5,NA,1,NA,1,1,NA,9
56,32,1,5,20,2,1,1,1,14000,18
56,54,1,5,18,2,1,1,1,45000,6
56,55,1,3,20,2,1,1,1,47400,22
56,40,1,1,16,1,1,1,1,35000,24
56,33,1,1,20,2,1,1,1,32000,22
56,4,1,5,1,1,NA,1,1,NA,24
56,11,1,5,6,1,NA,1,1,NA,20
56,45,1,1,18,1,1,1,1,45000,20
56,45,1,1,18,2,1,1,1,8000,21
56,18,1,5,14,2,1,1,1,6000,20
56,5,1,5,2,2,NA,1,1,NA,17
56,49,1,5,22,2,1,1,1,42000,21
56,41,1,1,23,2,6,1,1,1500,23
56,44,1,1,23,1,1,1,1,72000,25
56,8,1,5,5,1,NA,1,1,NA,18
56,5,1,5,2,2,NA,1,1,NA,22
56,61,1,5,17,1,1,1,1,5000,55
56,67,1,3,17,2,1,1,1,14200,35
56,85,1,1,16,1,6,1,1,29000,19
56,83,1,1,18,2,6,1,1,8000,16
56,93,1,2,15,2,6,1,1,26900,17
56,53,1,1,21,2,6,1,1,6000,29
56,57,1,1,19,1,6,1,1,45000,24
56,37,1,3,17,1,6,1,1,480,10
56,24,3,5,19,1,1,1,1,11700,9
56,18,1,5,18,2,1,1,1,10000,37
56,58,1,1,16,1,1,1,1,58000,29
56,63,1,1,20,2,6,1,1,12000,23
56,35,1,5,20,2,1,1,1,28500,21
56,85,1,2,12,1,6,1,1,11200,6
56,28,1,1,18,1,1,1,1,24000,27
56,33,1,1,18,2,1,1,1,24000,23
56,11,1,5,8,1,NA,1,1,NA,22
56,57,1,1,18,2,1,1,1,4800,13
56,61,1,1,14,1,6,1,1,12000,18
56,44,1,1,16,1,1,1,1,70000,17
56,45,1,1,19,2,1,1,1,10000,16
56,18,1,5,16,2,1,1,1,20000,9
56,58,1,1,19,2,1,1,1,120000,21
56,60,1,1,19,1,1,1,1,120000,19
56,69,1,2,16,2,1,1,1,39600,24
56,71,1,1,19,1,6,1,1,11100,29
56,67,1,1,16,2,2,1,1,48600,25
56,45,1,1,17,2,1,1,1,18000,9
56,44,1,1,17,1,1,1,1,32000,13
56,68,1,1,16,1,1,1,1,30100,21
56,67,1,1,16,2,6,1,1,19100,28
56,65,1,1,16,1,1,1,1,55000,14
56,48,1,1,19,2,1,1,1,24000,12
56,26,1,5,20,1,1,1,1,8000,24
56,23,1,5,16,1,1,1,1,40000,19
56,31,1,5,17,2,3,1,1,11100,25
56,39,1,5,19,1,1,1,1,70900,20
56,86,1,2,13,2,6,9,1,7500,4
56,40,1,3,18,1,6,1,1,6000,50
56,7,1,5,4,2,NA,1,1,NA,50
56,42,1,3,16,1,1,1,1,20000,52
56,38,1,3,18,1,1,1,1,24000,40
56,45,1,1,16,1,1,1,1,90000,14
56,45,1,1,19,2,1,1,1,18000,14
56,19,1,5,16,1,1,1,1,5000,11
56,17,1,5,13,1,6,1,1,3700,18
56,27,1,1,19,2,1,1,1,54400,48
56,31,1,1,21,1,1,1,1,60000,30
56,9,1,5,6,1,NA,1,1,NA,35
56,6,1,5,3,2,NA,1,1,NA,42
56,5,1,5,2,1,NA,1,1,NA,36
56,61,1,2,12,2,1,1,1,32200,24
56,69,1,3,16,2,6,1,1,176000,47
56,29,1,5,21,1,1,1,1,47000,13
56,27,1,1,19,2,1,1,1,71500,5
56,29,1,1,19,1,1,1,1,50000,4
56,9,1,5,5,1,NA,1,1,NA,8
