"ST","AGEP","CIT","MAR","SCHL","SEX","ESR","RAC1P","PINCP","PWGTP"
11,49,4,4,21,1,1,1,70000,15
11,31,5,5,22,2,1,1,48000,12
11,29,1,5,23,1,6,1,18200,14
11,37,1,5,19,2,1,2,35000,19
11,54,1,3,17,2,6,1,7700,21
11,77,1,2,14,2,6,2,17800,15
11,38,1,1,24,2,2,2,76000,15
11,38,3,1,21,1,1,2,10300,12
11,0,1,5,NA,2,NA,2,NA,16
11,20,1,5,19,2,6,1,0,23
11,50,1,1,21,2,1,1,50900,17
11,48,1,1,24,1,1,1,620000,13
11,58,1,5,13,2,1,2,27500,13
11,18,1,5,14,2,6,2,3800,17
11,12,1,5,10,1,NA,2,NA,14
11,1,1,5,NA,2,NA,2,NA,18
11,26,5,5,14,1,3,2,28000,37
11,23,5,5,10,1,1,2,12000,53
11,46,1,5,14,2,6,2,7600,38
11,22,1,5,14,2,6,2,3200,65
11,18,1,5,14,1,6,2,0,53
11,3,1,5,1,1,NA,2,NA,61
11,77,1,1,21,1,6,2,14700,15
11,72,1,1,22,2,6,2,50050,13
11,61,1,5,21,1,2,1,79500,15
11,37,1,5,21,1,1,9,40000,15
11,35,4,3,20,1,4,2,66010,13
11,8,1,5,6,1,NA,2,NA,13
11,81,1,2,13,1,6,2,14000,14
11,60,1,3,16,1,6,2,20400,12
11,37,1,5,19,2,1,2,13000,19
11,15,1,5,12,1,NA,2,0,13
11,25,1,5,16,2,1,2,7800,23
11,4,1,5,2,1,NA,2,NA,17
11,51,1,1,22,1,1,1,27000,23
11,52,4,1,20,2,1,2,50000,14
11,62,1,1,24,1,1,1,236000,17
11,64,1,1,22,2,1,1,150000,14
11,45,4,1,20,1,1,2,17000,15
11,40,4,1,19,2,1,2,33000,14
11,17,4,5,14,1,6,2,400,14
11,15,1,5,13,2,NA,2,400,10
11,12,1,5,8,1,NA,2,NA,13
11,8,1,5,5,2,NA,2,NA,13
11,0,1,5,NA,2,NA,2,NA,16
11,26,1,5,21,2,3,3,2000,84
11,31,1,5,22,1,1,1,99000,19
11,52,1,3,19,2,1,2,70000,16
11,17,1,5,14,1,1,2,2000,16
11,23,1,5,21,2,1,1,37500,17
11,33,1,5,21,2,1,1,47200,19
11,54,1,1,16,2,1,2,51000,17
11,60,1,1,16,1,1,2,51000,17
11,24,1,5,18,2,1,2,3100,24
11,55,1,5,17,1,1,2,14000,14
11,56,1,5,19,2,1,2,42000,11
11,28,1,5,13,1,3,2,2400,20
11,70,1,1,21,2,6,2,31900,12
11,93,1,1,12,1,6,2,8100,13
11,45,1,5,19,1,3,2,0,23
11,7,1,5,4,1,NA,2,NA,14
11,49,1,1,16,2,1,2,28000,11
11,50,1,1,16,1,1,2,39000,10
11,52,1,5,18,2,6,2,760,22
11,14,1,5,11,2,NA,2,NA,24
11,72,4,1,23,1,6,1,336000,10
11,66,4,1,16,2,6,1,3600,20
11,26,1,5,11,2,6,2,3500,36
11,16,1,5,13,2,3,2,0,26
11,12,1,5,7,2,NA,2,NA,30
11,11,1,5,7,1,NA,2,NA,32
11,21,1,5,16,1,6,2,0,43
11,23,1,5,21,2,1,1,15000,14
11,40,1,1,22,1,1,1,100000,13
11,42,1,1,21,2,1,1,4000,11
11,2,1,5,NA,1,NA,1,NA,18
11,2,1,5,NA,2,NA,1,NA,16
11,81,1,1,24,2,6,1,96200,16
11,85,3,1,24,1,6,1,96000,21
11,18,1,5,18,2,6,1,2500,23
11,63,1,5,23,2,6,1,95000,15
11,27,1,1,22,1,1,1,70000,12
