"ST","AGEP","CIT","MAR","SCHL","SEX","ESR","RAC1P","PINCP","PWGTP"
2,49,1,3,13,1,6,1,3200,12
2,59,1,5,21,2,1,1,43940,26
2,24,1,5,21,2,1,1,14000,58
2,27,1,1,20,1,1,1,63200,25
2,66,1,3,18,2,1,1,75400,67
2,42,5,1,22,1,1,1,160000,24
2,36,1,1,21,2,2,1,48000,21
2,3,1,5,2,1,NA,1,NA,27
2,0,1,5,NA,1,NA,1,NA,27
2,33,4,1,19,1,4,6,65000,16
2,28,1,1,20,2,1,1,30000,14
2,40,1,1,24,1,1,1,69000,5
2,35,1,1,19,2,1,1,26000,6
2,2,1,5,NA,2,NA,1,NA,9
2,48,1,3,19,1,6,1,28300,23
2,65,1,5,21,1,6,1,26350,7
2,24,1,4,19,2,1,1,25204,70
2,6,1,5,2,2,NA,1,NA,69
2,3,1,5,1,2,NA,1,NA,97
2,1,1,5,NA,1,NA,1,NA,81
2,68,1,1,11,2,6,1,8300,21
2,37,1,3,22,2,1,1,94400,81
2,3,1,5,2,2,NA,1,NA,109
2,26,4,1,18,2,1,6,61000,23
2,28,4,1,13,1,1,6,40000,21
2,1,1,5,NA,1,NA,6,NA,16
2,50,1,1,21,2,1,1,65300,20
2,52,1,1,22,1,6,9,52800,15
2,49,1,3,16,1,6,9,24900,60
2,36,3,1,20,1,6,1,13000,58
2,25,1,1,21,2,1,1,34020,23
2,78,1,2,24,1,6,1,51200,5
2,81,1,2,16,2,6,1,69500,32
2,61,1,1,20,1,6,1,61400,27
2,59,4,1,16,2,1,6,17000,21
2,35,1,3,16,2,6,1,13900,17
2,20,1,5,1,2,6,1,1200,23
2,74,1,2,8,1,6,3,16000,4
2,56,1,1,14,2,2,5,36800,4
2,68,1,1,19,1,6,5,17900,4
2,6,1,5,4,1,NA,5,NA,3
2,54,1,1,19,1,6,1,45200,18
2,52,1,1,19,2,6,1,9700,25
2,63,1,1,19,1,6,1,43100,15
2,63,1,1,18,2,6,1,27200,14
2,33,1,1,16,2,2,4,5800,10
2,33,1,1,13,1,1,4,62030,10
2,11,1,5,8,1,NA,4,NA,7
2,8,1,5,5,1,NA,4,NA,7
2,6,1,5,4,2,NA,4,NA,7
2,4,1,5,1,2,NA,4,NA,8
2,0,1,5,NA,2,NA,4,NA,8
2,44,1,1,12,1,1,1,16700,9
2,35,4,1,21,2,6,1,1700,11
2,4,1,5,1,2,NA,1,NA,19
2,32,1,1,18,1,1,9,21700,9
2,29,1,1,16,2,1,4,4900,10
2,11,1,5,7,2,NA,4,NA,6
2,7,1,5,5,2,NA,4,NA,5
2,80,1,2,11,1,6,1,2600,8
2,61,1,1,21,1,6,1,78000,32
2,49,1,1,18,2,2,1,14600,33
2,16,1,5,13,1,6,1,1600,32
2,36,1,1,20,1,1,1,43000,16
2,32,1,1,21,2,1,1,8500,11
2,61,1,1,21,2,1,1,22600,6
2,56,1,1,21,1,6,1,83000,7
2,41,1,1,16,2,1,4,3200,18
2,43,1,1,16,1,1,9,126200,26
2,82,1,2,16,2,6,1,26700,11
2,87,1,2,21,2,6,1,30200,23
2,61,4,1,19,1,1,6,60300,23
2,52,4,1,16,2,1,6,23300,23
2,75,1,3,21,1,6,1,41340,9
2,59,1,1,16,1,6,4,3300,8
2,59,1,1,16,2,1,4,39300,9
