"ST","AGEP","CIT","MAR","SCHL","SEX","ESR","RAC1P","PINCP","PWGTP"
50,34,1,5,19,2,1,1,29700,6
50,14,1,5,10,1,NA,1,NA,10
50,36,1,1,21,1,1,1,70200,31
50,34,1,1,16,2,6,1,0,22
50,9,1,5,5,1,NA,1,NA,22
50,93,1,1,22,1,6,1,52100,12
50,88,1,1,21,2,6,1,35200,15
50,48,1,1,16,2,1,1,15000,16
50,61,1,1,13,1,6,1,35000,13
50,75,1,1,22,2,6,1,12000,17
50,82,3,1,24,1,6,1,21000,13
50,46,1,3,16,1,1,1,4800,14
50,80,1,5,16,1,1,1,12789,4
50,63,1,3,22,2,2,1,2254,2
50,56,1,1,21,1,1,1,64960,15
50,46,1,1,22,2,1,1,31760,16
50,17,1,5,14,1,6,1,1500,25
50,9,1,5,5,1,NA,1,NA,21
50,33,1,5,20,2,6,1,7200,28
50,0,1,5,NA,1,NA,1,NA,44
50,29,1,5,21,1,1,1,68000,45
50,68,1,1,16,2,3,1,9980,6
50,69,1,1,16,1,6,1,26000,5
50,45,1,1,18,2,6,1,0,8
50,50,1,1,21,1,1,1,60000,9
50,16,1,5,12,2,6,1,300,16
50,13,1,5,10,2,NA,1,NA,10
50,11,1,5,7,2,NA,1,NA,11
50,8,1,5,5,1,NA,1,NA,14
50,6,1,5,3,2,NA,1,NA,10
50,23,1,5,21,1,1,1,21000,12
50,23,1,5,21,2,1,1,21300,11
50,36,1,4,20,2,1,1,43000,34
50,13,1,5,10,1,NA,1,NA,27
50,11,1,5,7,1,NA,1,NA,26
50,4,1,5,2,1,NA,1,NA,33
50,23,1,5,16,1,6,1,4520,28
50,57,1,1,16,1,1,1,61100,12
50,54,1,1,17,2,1,1,4880,12
50,83,1,2,15,2,6,1,60400,32
50,78,1,2,16,2,6,1,15200,22
50,42,1,1,21,1,1,1,72000,30
50,38,1,1,20,2,1,1,30000,23
50,6,1,5,3,2,NA,1,NA,20
50,80,1,2,17,2,6,1,12200,7
50,73,1,1,16,1,6,1,11800,12
50,73,1,1,19,2,6,1,6600,11
50,60,1,5,19,2,1,1,31200,31
50,66,1,3,13,2,6,1,41800,30
50,71,1,2,20,2,6,1,12400,5
50,61,1,1,17,1,1,1,33800,7
50,58,1,1,16,2,1,1,11200,6
50,53,1,3,16,2,1,1,7800,22
50,60,1,3,22,1,1,1,41500,7
50,62,1,3,21,2,1,1,42650,8
50,45,1,1,22,2,1,1,29000,9
50,48,1,1,20,1,1,1,24000,13
50,42,1,1,16,1,3,1,34000,30
50,34,1,1,16,2,6,1,0,34
50,49,1,1,21,2,1,1,68000,23
50,48,1,1,21,1,1,1,110000,23
50,13,1,5,9,2,NA,1,NA,27
50,10,1,5,7,1,NA,1,NA,20
50,61,1,3,13,1,6,1,8900,25
50,49,1,3,16,1,1,1,36010,24
50,40,1,1,19,1,1,1,60000,16
50,37,5,1,18,2,6,1,0,11
50,15,5,5,12,1,NA,1,0,19
50,1,1,5,NA,2,NA,1,NA,6
50,0,1,5,NA,1,NA,1,NA,6
50,48,1,1,16,1,1,1,56000,32
50,48,1,1,18,2,1,1,49000,31
50,64,1,3,21,1,1,1,35600,36
50,43,1,1,16,1,1,1,47000,14
50,40,1,1,19,2,1,1,49000,13
50,19,1,5,16,1,1,1,18010,7
50,17,1,5,13,2,1,1,4800,18
50,15,1,5,12,1,NA,1,0,12
50,14,1,5,11,2,NA,1,NA,11
50,53,1,5,16,1,1,1,8250,7
50,61,1,1,21,1,6,1,23600,8
50,65,1,1,21,2,6,1,22500,5
50,70,1,1,24,1,6,1,194000,23
50,69,1,1,22,2,6,1,0,23
50,63,1,1,21,1,1,1,26800,5
50,62,1,1,16,2,1,1,15600,4
50,60,3,1,16,1,1,1,22000,24
50,62,1,1,16,2,1,1,7200,24
50,83,3,2,11,2,6,1,6500,15
50,93,1,2,12,2,6,1,8500,15
50,69,1,1,19,1,1,1,9300,8
50,71,1,1,16,2,6,1,6100,7
50,19,1,5,19,2,1,1,7200,25
50,18,1,5,16,2,6,1,1900,24
50,75,1,1,13,1,6,1,43300,6
50,66,1,1,16,2,6,1,5300,8
50,35,1,5,12,2,1,1,17000,9
50,17,1,5,14,1,6,1,1200,7
50,14,1,5,12,1,NA,1,NA,12
50,54,1,2,21,2,1,1,43800,6
50,46,1,1,22,2,1,1,22900,18
50,46,1,1,21,1,1,1,30000,20
50,61,1,5,20,1,1,1,31200,6
50,18,1,5,16,1,6,1,3300,27
50,45,1,1,20,1,1,1,15500,25
50,45,1,1,21,2,1,1,25000,25
50,19,1,5,16,2,1,1,6000,19
50,15,1,5,13,2,NA,1,3000,17
50,54,1,3,21,1,1,1,32000,18
