"ST","AGEP","CIT","MAR","SCHL","SEX","ESR","RAC1P","PINCP","PWGTP"
49,48,1,1,15,2,1,1,29700,6
49,23,1,1,15,1,1,1,35000,8
49,23,1,1,16,2,1,1,5000,7
49,39,1,1,22,1,1,1,76200,16
49,34,1,1,21,2,6,1,0,18
49,12,1,5,9,1,NA,1,NA,13
49,11,1,5,8,1,NA,1,NA,13
49,7,1,5,3,1,NA,1,NA,14
49,6,1,5,3,1,NA,1,NA,13
49,55,1,1,19,1,1,1,52000,20
49,51,1,1,20,2,1,1,53000,14
49,27,1,5,21,2,1,1,16300,42
49,17,1,5,14,1,1,1,3600,20
49,50,1,1,20,1,1,1,60000,17
49,42,1,1,18,2,1,1,65000,17
49,16,1,5,12,1,6,1,940,18
49,14,1,5,11,1,NA,1,NA,18
49,40,1,3,19,2,3,1,25200,68
49,91,4,2,12,2,6,1,16000,14
49,82,1,2,16,2,6,1,12000,18
49,46,1,1,21,1,1,1,76000,18
49,34,1,1,21,2,1,1,89000,14
49,55,1,1,20,1,1,1,57300,17
49,53,1,1,16,2,1,1,17200,17
49,24,1,5,20,2,1,1,32930,20
49,26,1,5,19,1,1,1,40000,20
49,44,1,3,20,1,1,1,58000,12
49,15,1,5,12,1,NA,1,0,10
49,48,1,1,18,1,1,1,100000,24
49,36,1,1,16,2,1,1,700,22
49,11,1,5,7,2,NA,1,NA,23
49,9,1,5,5,1,NA,1,NA,25
49,56,1,1,21,1,1,1,52000,16
49,49,1,1,19,2,6,1,20000,13
49,55,1,3,19,2,6,1,20500,5
49,32,1,3,16,2,1,1,14500,9
49,12,1,5,9,2,NA,9,NA,5
49,10,1,5,7,1,NA,9,NA,4
49,6,1,5,3,2,NA,9,NA,4
49,69,1,2,16,2,6,1,30800,8
49,40,1,1,21,1,1,1,79000,15
49,30,1,1,18,2,1,1,45000,14
49,1,1,5,NA,2,NA,1,NA,15
49,52,1,3,23,1,6,1,18000,26
49,36,1,1,19,1,1,1,35000,6
49,33,1,1,19,2,1,1,10000,4
49,6,1,5,3,2,NA,1,NA,3
49,10,1,5,6,1,NA,1,NA,5
49,23,1,5,15,1,1,1,50000,17
49,21,1,5,18,2,1,1,34600,14
49,53,1,3,18,2,1,1,25400,17
49,54,1,3,16,1,3,1,60200,26
49,50,1,2,19,2,1,1,59600,16
49,17,1,5,14,1,6,1,16000,18
49,18,1,5,14,2,6,1,16300,17
49,42,1,1,23,1,1,1,123000,54
49,45,1,1,19,2,6,1,0,50
49,16,1,5,13,2,6,1,3000,55
49,12,1,5,9,1,NA,1,NA,56
49,8,1,5,6,1,NA,1,NA,56
49,24,1,1,16,1,1,1,9000,7
49,24,1,1,16,2,6,1,0,11
49,3,1,5,1,1,NA,1,NA,10
49,0,1,5,NA,1,NA,1,NA,10
49,54,1,1,20,2,6,1,15000,13
49,59,1,1,20,1,1,1,25000,16
49,23,1,5,20,1,1,1,10000,16
49,57,1,3,19,1,1,1,86000,15
49,56,1,5,13,2,1,1,4980,15
49,26,1,4,16,1,1,1,34000,16
49,0,1,5,NA,2,NA,1,NA,19
49,59,4,1,19,1,1,1,45000,16
49,55,4,1,19,2,1,1,60000,15
49,79,1,1,21,1,6,1,10000,12
49,51,1,1,19,1,1,1,127000,11
49,46,1,1,21,2,1,1,175400,15
49,13,1,5,9,2,NA,1,NA,13
49,11,1,5,7,2,NA,1,NA,13
49,9,1,5,6,2,NA,1,NA,13
49,42,1,5,20,1,1,1,30000,14
49,27,1,3,21,2,1,9,38000,12
49,26,1,1,19,1,1,1,30000,14
49,27,1,1,21,2,1,1,28000,13
49,81,1,5,21,2,1,6,11500,31
49,73,1,1,17,1,6,1,15900,22
49,71,1,1,19,2,6,1,6600,23
49,43,1,1,20,2,1,1,67000,15
49,38,1,1,19,1,1,1,53000,15
49,35,1,1,16,2,6,8,9000,39
49,39,1,1,16,1,1,8,24000,59
49,14,1,5,11,1,NA,8,NA,64
49,12,1,5,9,2,NA,8,NA,89
49,8,1,5,5,1,NA,8,NA,63
49,53,1,3,16,2,1,1,32500,15
49,19,1,5,19,2,1,1,22300,19
49,23,1,5,14,1,6,3,45000,10
49,64,1,1,20,1,1,1,40000,13
49,59,1,1,16,2,1,1,9000,13
49,31,1,5,14,2,1,1,5000,16
49,30,1,3,14,2,3,1,15000,17
49,11,1,5,9,1,NA,1,NA,14
49,6,1,5,3,1,NA,1,NA,13
49,47,1,3,13,1,1,1,40000,18
49,19,1,5,14,1,1,1,11200,25
49,11,1,5,8,2,NA,1,NA,15
49,33,1,3,16,2,6,1,3000,13
49,21,1,1,19,2,1,1,24000,12
49,24,1,1,19,1,1,1,50000,16
49,41,1,1,16,1,1,1,35000,15
49,35,1,1,20,2,1,1,15000,16
49,17,1,5,14,2,6,1,1000,18
49,13,1,5,10,1,NA,1,NA,16
49,10,1,5,7,2,NA,1,NA,15
49,33,1,4,20,2,1,1,94000,59
49,25,1,5,19,1,3,1,5000,13
49,61,1,3,21,2,6,1,10800,22
49,50,1,1,20,1,1,1,35000,15
49,49,3,1,20,2,1,1,4200,17
49,20,1,5,18,2,1,1,4100,16
49,16,1,5,13,2,6,1,0,15
49,44,1,1,23,1,1,1,120000,15
49,42,1,1,18,2,1,1,25000,15
49,20,1,5,19,2,1,1,5000,17
49,55,1,1,21,1,1,1,28300,24
49,54,1,1,19,2,1,1,20600,23
49,23,1,5,18,1,1,1,22410,31
49,20,1,5,18,2,3,1,5000,28
49,91,1,1,21,1,6,1,10100,18
49,83,1,1,18,2,6,1,3800,15
49,82,1,2,16,2,6,1,7800,7
49,23,1,1,19,1,1,1,11100,34
49,20,1,1,19,2,1,1,8000,28
49,54,5,1,22,1,1,1,64000,25
49,45,5,1,21,2,1,1,64000,23
49,20,5,5,16,1,1,1,5600,12
49,18,5,5,18,2,1,1,10000,11
49,15,5,5,11,2,NA,1,0,26
49,26,1,5,21,1,1,1,30000,14
49,35,1,1,19,2,6,1,61000,16
49,36,1,1,14,1,1,1,75000,15
49,13,1,5,10,2,NA,1,NA,17
49,11,1,5,7,1,NA,1,NA,16
49,5,1,5,2,2,NA,1,NA,16
49,4,1,5,2,1,NA,1,NA,16
49,22,1,1,16,1,3,1,10800,7
49,20,1,1,18,2,1,1,6700,19
49,1,1,5,NA,2,NA,1,NA,25
49,0,1,5,NA,1,NA,1,NA,13
49,43,1,1,16,2,1,1,9300,14
49,47,1,1,16,1,1,2,50000,16
49,9,1,5,6,1,NA,9,NA,14
49,39,1,1,22,1,1,1,74001,16
49,39,1,1,21,2,1,1,30000,17
49,8,1,5,5,2,NA,1,NA,16
49,6,1,5,3,1,NA,1,NA,18
49,4,1,5,1,1,NA,1,NA,18
49,20,1,5,18,2,4,2,25000,16
49,70,1,3,16,2,6,1,16200,15
49,49,1,1,21,1,1,1,135000,13
49,48,1,1,21,2,1,1,130,10
49,22,1,5,16,1,6,1,130,10
49,16,1,5,13,1,1,1,3600,7
49,11,1,5,8,1,NA,1,NA,11
49,6,1,5,3,2,NA,1,NA,9
49,44,1,5,23,1,1,1,79530,16
49,46,1,1,19,1,1,1,90010,16
49,44,1,1,19,2,1,1,11000,17
49,19,1,5,18,2,1,1,12110,19
49,16,1,5,13,1,6,1,0,21
49,56,1,1,18,1,1,1,108000,17
49,54,1,1,18,2,1,1,33000,15
49,33,1,1,19,1,1,1,25000,18
49,32,1,1,19,2,6,1,0,18
49,8,1,5,3,1,NA,1,NA,15
49,4,1,5,1,2,NA,1,NA,15
49,3,1,5,1,1,NA,1,NA,15
49,18,1,5,18,1,6,1,6500,13
49,34,5,1,20,1,1,1,-3000,83
49,32,1,1,16,2,6,1,6000,91
49,6,3,5,3,1,NA,1,NA,74
49,2,1,5,NA,1,NA,1,NA,74
49,1,1,5,NA,1,NA,1,NA,74
49,9,1,5,6,2,NA,1,NA,71
49,8,1,5,5,2,NA,1,NA,71
49,50,1,1,21,2,6,1,0,14
49,52,1,1,21,1,1,1,80500,17
49,12,1,5,8,1,NA,1,NA,16
49,54,1,1,18,1,1,1,80000,4
49,53,1,1,16,2,1,1,39000,5
49,91,1,2,1,2,6,1,34600,14
49,46,1,1,19,1,1,6,85000,11
49,48,1,1,19,2,1,6,9000,19
49,19,1,5,18,2,3,6,2200,9
49,44,1,1,19,1,1,1,65000,20
49,42,1,1,18,2,1,1,29000,19
49,21,1,5,16,1,1,1,50000,21
49,19,1,5,16,1,6,1,15000,16
49,16,1,5,12,1,6,1,0,20
49,71,1,1,19,1,6,1,26400,12
49,71,1,1,19,2,6,1,15000,16
49,56,1,1,19,1,1,1,68000,17
49,52,1,1,16,2,1,1,45000,17
49,24,1,5,19,1,1,1,12000,24
49,82,1,1,21,1,6,1,15600,18
49,82,1,2,19,2,6,1,7500,27
49,25,1,1,16,1,1,1,40000,17
49,22,1,1,19,2,1,1,15000,18
49,91,1,2,19,2,6,1,57900,58
49,37,1,3,19,2,6,1,4000,14
49,53,1,1,19,1,1,1,35000,17
49,52,1,1,19,2,1,1,30000,14
49,16,1,5,14,1,1,1,3000,19
49,36,1,1,21,2,1,1,59000,16
49,38,1,1,19,1,1,1,53000,16
49,10,1,5,8,2,NA,1,NA,16
49,8,1,5,6,1,NA,1,NA,17
49,39,1,1,22,1,1,1,67000,14
49,34,1,1,19,2,6,1,2200,17
49,14,1,5,11,2,NA,1,NA,12
49,12,1,5,9,1,NA,1,NA,13
49,10,1,5,7,1,NA,1,NA,13
49,8,1,5,5,1,NA,1,NA,12
49,5,1,5,1,2,NA,1,NA,13
49,3,1,5,1,2,NA,1,NA,13
49,70,1,2,21,2,6,1,190800,17
49,50,1,1,16,2,1,1,4200,18
49,50,1,1,16,1,1,1,30000,21
49,20,1,5,19,2,1,1,2500,12
49,24,1,1,19,2,6,1,0,17
49,26,1,1,21,1,1,1,20000,18
49,1,1,5,NA,2,NA,1,NA,14
49,0,1,5,NA,2,NA,1,NA,15
49,37,1,1,21,1,1,1,160000,23
49,33,1,1,19,2,6,1,0,15
49,8,1,5,5,1,NA,1,NA,20
49,5,1,5,2,2,NA,1,NA,16
49,0,1,5,NA,1,NA,1,NA,21
49,18,1,5,16,2,1,1,3400,29
49,35,1,1,22,1,1,1,60000,13
49,34,1,1,22,2,1,1,3500,17
49,6,1,5,3,1,NA,1,NA,13
49,4,1,5,2,1,NA,1,NA,13
49,1,1,5,NA,2,NA,1,NA,13
49,68,1,1,19,2,1,1,25420,17
