"ST","AGEP","CIT","MAR","SCHL","SEX","ESR","RAC1P","HISP","PINCP","PWGTP"
15,52,1,5,20,1,6,6,1,20000,14
15,70,1,5,21,1,1,1,1,232600,39
15,71,1,5,21,1,1,1,1,22810,46
15,60,4,1,14,1,1,6,1,32000,4
15,51,4,1,16,2,1,6,1,32000,4
15,41,1,1,21,1,1,7,1,36000,10
15,39,1,1,22,2,1,7,1,21000,11
15,27,1,5,19,1,6,7,1,0,13
15,22,1,5,16,2,1,7,1,10900,18
15,20,1,5,16,2,6,7,1,0,13
15,19,1,5,13,2,6,7,1,0,14
15,17,1,5,14,1,6,7,1,0,14
15,17,1,5,12,1,6,7,1,0,13
15,16,1,5,12,1,6,7,1,0,13
15,16,1,5,13,2,6,7,1,0,20
15,14,1,5,12,1,NA,7,1,NA,15
15,13,1,5,9,1,NA,7,1,NA,16
15,31,1,3,19,2,6,9,1,25100,38
15,1,1,5,NA,2,NA,1,1,NA,64
15,30,1,5,18,1,6,9,1,1800,97
15,46,1,3,19,1,6,1,1,340,56
15,49,5,3,23,2,1,6,1,100000,15
15,81,5,2,21,1,6,6,1,0,16
15,34,1,1,21,2,1,6,1,83000,16
15,33,1,1,21,1,1,6,1,116500,15
15,1,1,5,NA,1,NA,6,1,NA,15
15,42,1,1,16,1,1,2,1,3000,10
15,37,1,1,16,2,6,7,1,5000,17
15,16,1,5,12,1,6,2,1,2000,10
15,5,1,5,2,1,NA,9,1,NA,7
15,0,1,5,NA,1,NA,9,1,NA,5
15,13,1,5,11,1,NA,2,1,NA,7
15,7,1,5,4,2,NA,9,1,NA,9
15,44,1,1,19,1,1,1,1,130000,17
15,43,1,1,21,2,1,1,1,4300,15
15,67,4,1,9,1,1,6,1,37100,13
15,62,4,1,15,2,1,6,1,29700,13
15,24,1,5,21,2,1,6,1,4000,12
15,48,1,1,16,1,1,6,1,23000,13
15,44,1,1,9,1,1,6,1,22000,13
15,15,3,5,13,2,NA,6,1,0,12
15,42,1,1,18,2,2,1,2,50000,104
15,38,1,1,16,1,6,1,1,35000,65
15,20,1,5,19,1,1,1,2,12000,112
15,11,1,5,8,2,NA,1,2,NA,75
15,41,5,1,15,1,1,6,1,63100,14
15,37,5,1,16,2,6,6,1,14000,13
15,7,1,5,4,2,NA,6,1,NA,13
15,1,1,5,NA,1,NA,6,1,NA,12
15,75,1,2,21,2,6,1,1,69300,24
15,58,1,1,19,1,3,1,1,30000,4
15,21,1,5,20,1,6,1,1,0,4
15,85,1,2,16,2,6,6,1,11300,16
15,71,1,5,19,2,6,6,1,31500,15
15,71,1,3,16,1,6,6,1,8004,15
15,59,1,1,19,2,1,1,1,72000,13
15,57,1,1,19,1,1,9,1,32000,8
15,73,1,2,16,1,6,6,1,65900,20
15,23,1,5,16,1,3,6,1,3400,22
15,55,1,3,21,1,1,1,1,102000,21
15,33,1,1,20,1,1,6,1,70000,14
15,32,1,1,21,2,1,6,1,50000,15
15,2,1,5,NA,1,NA,6,1,NA,15
15,0,1,5,NA,2,NA,6,1,NA,14
15,51,1,1,21,2,1,6,1,62100,25
15,50,1,1,21,1,1,6,1,104000,13
15,19,1,5,16,1,6,6,1,6000,15
15,13,1,5,10,2,NA,6,1,NA,19
15,59,4,5,16,1,1,6,1,3100,13
15,82,4,2,16,2,6,6,1,9800,16
15,54,1,1,16,1,3,1,24,15000,5
15,50,1,1,21,2,1,1,1,55000,4
15,18,1,5,16,1,3,1,1,1000,5
15,73,1,5,21,2,6,6,1,51400,13
15,84,1,5,21,1,6,6,1,82500,16
15,54,1,3,19,2,1,9,1,56200,15
15,83,1,2,13,2,6,6,1,11160,4
15,25,1,5,18,2,6,1,3,630,15
15,6,1,5,3,2,NA,9,3,NA,29
15,65,1,1,23,1,6,1,1,62000,17
15,57,4,1,20,2,1,7,1,24000,18
15,28,1,5,19,1,6,9,1,4000,28
