"ST","AGEP","CIT","MAR","SCHL","SEX","ESR","RAC1P","HISP","PINCP","PWGTP"
38,83,1,3,16,2,6,1,1,8400,4
38,28,1,5,19,2,1,1,1,21000,33
38,32,1,5,21,1,1,1,1,24000,28
38,70,1,2,16,2,6,1,1,33600,10
38,95,1,2,11,2,6,1,1,15600,14
38,58,1,5,16,1,1,1,1,30000,12
38,24,1,5,18,2,1,1,1,19800,21
38,24,1,5,17,1,1,1,1,22000,15
38,20,1,5,18,1,1,9,1,350,18
38,26,1,5,19,1,1,1,1,41600,39
38,42,1,5,17,1,1,1,1,22000,46
38,36,1,1,19,1,1,1,1,47600,42
38,33,1,1,18,2,6,1,1,0,42
38,7,1,5,3,2,NA,1,1,NA,35
38,4,1,5,1,2,NA,1,1,NA,37
38,52,1,1,23,2,1,1,1,110500,6
38,54,1,1,19,1,1,1,1,50000,7
38,79,1,1,1,1,6,1,1,5200,7
38,80,1,1,11,2,6,1,1,2100,7
38,46,1,1,21,1,1,1,1,38000,35
38,46,1,1,21,2,1,1,1,60000,18
38,12,1,5,9,2,NA,1,1,NA,35
38,11,1,5,7,1,NA,1,1,NA,34
38,9,1,5,6,1,NA,1,1,NA,33
38,18,1,5,18,2,6,1,1,1500,20
38,52,1,1,16,2,1,1,1,34000,7
38,40,1,1,16,1,1,1,1,95000,10
38,25,1,5,19,1,1,1,1,40000,17
38,41,1,3,19,1,6,1,1,0,10
38,31,2,1,19,1,4,2,3,34000,52
38,31,1,1,19,2,6,1,1,0,24
38,9,1,5,6,1,NA,9,3,NA,17
38,6,1,5,3,2,NA,9,3,NA,16
38,1,1,5,NA,1,NA,9,3,NA,15
38,53,1,5,12,2,6,3,1,7800,13
38,20,1,5,12,2,6,3,1,0,13
38,2,1,5,NA,2,NA,3,1,NA,22
38,1,1,5,NA,1,NA,3,1,NA,12
38,0,1,5,NA,1,NA,3,1,NA,12
38,23,1,5,14,1,6,3,1,3500,26
38,95,1,2,11,2,6,1,1,7600,12
38,29,1,5,20,2,1,1,1,12200,5
38,10,1,5,8,2,NA,1,2,NA,8
38,1,1,5,NA,1,NA,1,1,NA,9
38,33,1,1,21,2,6,1,1,1800,10
38,37,1,1,21,1,1,1,1,45000,7
38,7,1,5,4,2,NA,1,1,NA,11
38,5,1,5,3,2,NA,1,1,NA,11
38,1,1,5,NA,2,NA,1,1,NA,10
38,55,1,1,19,1,1,1,1,11500,9
38,52,1,1,16,2,1,1,1,19500,5
38,61,1,1,16,1,1,1,1,345000,7
38,59,1,1,16,2,1,1,1,6600,7
38,47,1,5,18,2,1,1,1,27000,24
38,43,1,5,13,2,6,1,1,0,29
38,61,5,3,19,1,6,6,1,0,4
38,45,1,1,16,2,1,1,1,33200,16
38,47,1,1,14,1,1,1,1,19200,23
38,16,1,5,13,1,1,1,1,4500,21
38,79,1,1,11,1,6,1,1,17150,12
38,75,1,1,16,2,6,1,1,2100,9
38,56,1,5,21,2,1,1,1,14000,13
38,31,1,1,21,2,1,1,1,39510,3
38,30,1,1,17,1,1,1,1,24800,3
38,6,1,5,2,1,NA,1,1,NA,6
38,3,1,5,1,2,NA,1,1,NA,4
38,1,1,5,NA,2,NA,1,1,NA,4
38,55,1,1,14,2,6,1,1,6700,5
38,56,1,1,20,1,1,1,1,42000,5
38,16,1,5,12,1,6,1,1,30,9
38,38,1,1,21,2,1,1,1,42000,17
38,38,1,1,23,1,1,1,1,132000,24
38,9,1,5,6,1,NA,1,1,NA,30
38,3,1,5,1,2,NA,1,1,NA,35
38,77,1,5,16,1,6,1,1,2000,37
38,59,1,1,21,1,1,1,1,43700,19
38,58,1,1,19,2,1,1,1,34050,22
38,35,1,1,21,1,1,1,1,57000,21
38,29,1,1,21,2,1,1,1,30000,21
38,34,1,1,22,1,1,1,1,80000,31
38,32,1,1,19,2,6,1,1,4300,34
38,6,1,5,2,1,NA,1,1,NA,32
38,4,1,5,1,2,NA,1,1,NA,30
38,72,1,3,11,2,6,9,1,7400,23
38,25,1,5,20,1,1,1,1,38000,9
38,1,1,5,NA,2,NA,1,1,NA,6
38,24,1,5,21,2,1,1,1,20000,13
38,32,1,5,21,2,1,1,1,30000,56
38,57,1,1,19,1,1,1,1,45000,32
38,53,1,1,20,2,1,1,1,23000,46
38,58,1,1,16,2,1,1,1,27000,8
38,60,1,1,19,1,1,1,1,24000,8
38,47,1,5,22,2,1,1,1,73000,29
38,5,4,5,2,1,NA,1,7,NA,47
38,57,1,1,20,1,1,1,1,94000,17
38,49,1,1,18,2,1,3,1,87000,36
38,47,1,1,18,2,1,1,1,28000,21
38,50,1,1,16,1,1,1,1,103000,23
38,35,1,1,22,2,1,3,1,40000,30
38,30,1,1,21,1,3,3,1,5000,28
38,10,1,5,5,1,NA,3,1,NA,25
38,8,1,5,4,2,NA,3,1,NA,21
38,8,1,5,5,2,NA,3,1,NA,21
38,5,1,5,2,2,NA,3,1,NA,21
38,1,1,5,NA,1,NA,3,1,NA,25
38,0,1,5,NA,2,NA,3,1,NA,25
38,27,1,5,21,2,1,3,1,25000,20
38,21,1,5,17,1,1,3,1,8000,45
38,52,1,1,21,1,1,1,1,45000,5
38,50,1,1,21,2,1,1,1,36000,4
38,83,1,2,11,1,6,1,1,6500,13
38,49,1,1,21,1,1,1,1,45200,29
38,55,1,1,22,2,1,1,1,43000,33
38,51,1,1,16,1,1,1,1,40800,5
38,49,1,1,19,2,1,1,1,18900,6
38,14,1,5,11,1,NA,1,1,NA,5
38,71,1,1,16,1,1,1,1,10000,8
38,72,1,1,16,2,1,1,1,3200,9
38,80,1,2,16,2,6,1,1,7700,4
38,46,3,1,11,2,1,1,1,20000,13
38,51,1,1,14,1,1,1,1,20000,18
38,22,1,5,16,2,1,1,1,22000,23
38,18,5,5,14,2,6,1,2,0,18
38,23,1,5,21,2,1,1,1,13000,31
38,57,1,1,21,1,1,1,1,44600,30
38,50,1,1,22,2,1,1,1,37500,28
38,51,1,1,16,1,1,1,1,90200,21
38,51,1,1,20,2,1,1,1,16500,20
38,56,1,1,19,1,1,1,1,23000,5
38,54,1,1,16,2,1,1,1,12000,4
38,22,1,1,19,1,1,1,1,8100,20
38,22,1,1,21,2,1,1,1,8100,18
38,37,1,5,20,1,1,1,1,50000,33
38,72,1,5,19,2,6,1,1,6910,24
38,78,1,2,16,2,6,1,1,23200,23
38,76,1,1,16,1,6,1,1,5400,12
38,68,1,1,16,2,6,1,1,2800,10
38,77,1,1,15,1,6,1,1,23700,16
38,68,1,1,13,2,1,1,1,9700,14
38,80,1,1,13,1,2,1,1,44400,35
38,74,1,1,16,2,6,1,1,32574,19
38,37,1,1,20,2,1,1,1,30000,9
38,48,1,1,20,1,1,1,1,47000,7
38,8,1,5,4,2,NA,1,1,NA,10
38,3,1,5,1,2,NA,1,1,NA,6
38,25,1,5,21,1,1,1,1,18000,52
38,20,1,5,16,2,1,1,1,8000,55
38,59,1,1,12,1,6,1,1,21500,7
38,57,1,1,16,2,1,1,1,31000,6
38,60,1,1,18,1,1,1,1,22000,7
38,60,1,1,18,2,1,1,1,24000,8
38,63,1,1,13,1,6,1,1,28000,21
38,61,1,1,20,2,1,1,1,40000,24
38,27,1,5,17,2,1,1,1,17000,31
38,71,1,1,16,1,1,1,1,41800,4
38,70,1,1,21,2,6,1,1,34700,4
38,44,1,3,16,2,1,1,1,27000,86
38,15,1,5,12,1,NA,1,1,0,78
38,18,1,5,19,2,6,1,1,0,17
38,40,1,1,19,1,1,1,1,36000,7
38,40,1,1,19,2,1,1,1,30000,8
38,17,1,5,13,2,1,1,1,3000,7
38,16,1,5,12,2,1,1,1,170,8
38,13,1,5,10,2,NA,1,1,NA,7
38,31,1,1,20,2,1,1,1,24000,9
38,37,1,1,21,1,1,1,1,69800,30
38,44,1,1,20,2,1,1,1,50000,9
38,43,1,1,13,1,1,1,1,50000,7
38,41,1,1,20,2,1,3,1,30000,43
38,46,1,1,19,1,6,3,1,0,47
38,14,1,5,12,2,NA,3,1,NA,41
38,10,1,5,7,2,NA,3,1,NA,41
38,1,1,5,NA,2,NA,3,1,NA,49
38,37,1,3,16,1,6,1,1,23000,33
38,49,1,1,20,1,1,1,1,60400,6
38,46,1,1,17,2,1,1,1,40000,6
38,23,1,5,16,1,1,1,1,25000,2
38,63,1,1,19,1,6,1,1,30300,9
38,57,1,1,20,2,1,1,1,15300,8
38,18,1,5,14,1,6,1,1,12000,2
38,20,1,5,20,1,1,1,1,60000,48
38,81,1,1,11,1,6,1,1,11400,4
38,80,1,1,19,2,6,1,1,9900,3
38,54,1,1,16,1,1,1,1,60000,20
38,49,1,1,18,2,1,1,1,30000,18
38,69,1,1,16,1,1,1,1,23100,3
38,62,1,1,21,2,6,1,1,18000,5
38,28,1,1,16,1,1,1,1,19000,7
38,28,1,1,13,2,1,1,1,32000,6
38,52,1,3,20,1,6,1,1,22900,4
38,29,1,5,18,1,6,3,1,4500,23
38,7,1,5,3,1,NA,3,1,NA,27
38,5,1,5,1,2,NA,3,1,NA,32
38,10,1,5,6,2,NA,3,1,NA,32
38,8,1,5,4,2,NA,5,1,NA,32
38,39,1,3,19,2,1,3,1,19700,27
38,83,1,1,19,1,1,1,1,20900,7
38,81,1,1,18,2,6,1,1,7800,8
38,66,1,3,16,2,1,1,1,34100,37
38,47,1,1,20,1,1,1,1,60000,12
38,49,1,1,20,2,1,1,1,40000,11
38,54,1,1,19,1,1,1,1,108000,39
38,55,1,1,16,2,6,1,1,0,27
38,28,1,1,20,2,1,1,1,10940,7
38,29,1,1,20,1,1,1,1,50000,10
38,11,1,5,7,2,NA,1,1,NA,8
38,4,1,5,1,2,NA,1,1,NA,5
38,58,1,1,20,1,1,1,1,100000,31
38,58,1,1,19,2,1,1,1,30000,22
38,2,1,5,NA,2,NA,1,1,NA,18
38,85,1,2,20,2,6,1,1,21600,10
38,31,1,1,19,2,1,1,1,31000,30
38,41,1,1,19,1,1,1,1,31000,27
38,7,1,5,3,1,NA,1,1,NA,27
38,5,1,5,2,1,NA,1,1,NA,27
38,56,1,1,16,1,1,1,1,24300,24
38,53,1,1,19,2,6,1,1,0,21
38,30,1,5,21,1,1,1,1,8000,29
38,60,1,3,20,2,1,1,1,48000,5
38,42,1,1,21,1,1,1,1,47450,22
38,44,1,1,21,2,1,1,1,25450,18
38,16,1,5,14,2,6,1,1,3000,27
38,14,1,5,10,2,NA,1,1,NA,26
38,62,1,1,21,2,1,1,1,44400,8
38,74,1,1,18,1,1,1,1,30400,7
38,28,1,5,20,1,1,1,1,30000,10
38,25,1,5,19,2,1,1,1,20000,9
38,38,1,1,19,2,1,1,1,4,8
38,40,1,1,19,1,1,1,1,10000,7
38,17,1,5,14,2,1,1,1,4000,8
38,14,1,5,10,2,NA,1,1,NA,12
38,10,1,5,7,1,NA,1,1,NA,8
38,33,1,1,21,2,1,1,1,17800,4
38,36,1,1,19,1,1,1,1,150800,5
38,72,1,2,14,2,1,1,1,8500,4
38,30,1,5,21,2,1,3,1,18200,35
38,9,1,5,6,1,NA,3,1,NA,28
38,6,1,5,3,2,NA,3,1,NA,20
38,18,1,5,16,1,6,1,1,3500,19
38,31,1,1,21,1,1,1,1,20200,29
38,31,1,1,18,2,1,1,1,20300,31
38,78,1,2,11,2,6,1,1,11500,31
38,49,1,1,16,1,1,1,1,80000,10
38,47,1,1,16,2,6,1,1,0,8
38,17,1,5,14,1,6,1,1,0,15
38,76,1,2,18,2,6,3,1,7500,61
38,79,1,2,16,1,1,1,1,70000,19
38,18,1,5,16,1,1,1,1,18250,19
38,56,1,1,19,1,1,1,1,59000,17
38,56,1,1,19,2,1,1,1,50000,19
38,29,1,5,19,1,1,1,1,85000,33
38,47,1,1,19,2,1,1,1,46000,18
38,48,1,1,16,1,1,1,1,50000,25
38,25,1,5,20,1,1,1,1,13000,50
38,21,1,5,16,2,1,1,1,13000,44
38,20,1,5,19,1,2,1,1,6510,29
38,80,1,3,11,2,6,1,1,5400,14
38,32,1,1,16,2,6,1,1,4300,32
38,30,1,1,21,1,1,1,1,10800,27
38,9,1,5,6,1,NA,1,1,NA,29
