"","ST","age","citizen","marital","education","employment","race","sex","n","weighted_share_of_state","state"
"79",1,1,1,1,4,2,5,1,137,2.86771302607358e-05,"al"
"80",1,1,1,1,4,2,5,2,685,0.000143385651303679,"al"
"81",1,1,1,1,5,1,1,1,104437,0.0218609741097844,"al"
"82",1,1,1,1,5,1,1,2,82593,0.0172885417490873,"al"
"83",1,1,1,1,5,1,2,1,11798,0.00246958235632234,"al"
"84",1,1,1,1,5,1,2,2,14375,0.00300900545619035,"al"
"85",1,1,1,1,5,1,3,1,2042,0.000427435766368048,"al"
"86",1,1,1,1,5,1,3,2,1416,0.000296400120067167,"al"
"87",1,1,1,1,5,1,4,1,1336,0.000279654350571847,"al"
"88",1,1,1,1,5,1,4,2,1369,0.000286561980488667,"al"
"89",1,1,1,1,5,1,5,1,1265,0.00026479248014475,"al"
"90",1,1,1,1,5,1,5,2,1239,0.000259350105058771,"al"
"91",1,1,1,1,5,2,1,1,29470,0.00616872283783857,"al"
"92",1,1,1,1,5,2,1,2,45815,0.00959009286785118,"al"
"93",1,1,1,1,5,2,2,1,2781,0.000582124812081068,"al"
"94",1,1,1,1,5,2,2,2,5002,0.00104702923769489,"al"
"95",1,1,1,1,5,2,3,1,217,4.5422899756056e-05,"al"
"96",1,1,1,1,5,2,3,2,602,0.000126011915452284,"al"
"97",1,1,1,1,5,2,4,1,205,4.2911034331758e-05,"al"
"98",1,1,1,1,5,2,4,2,565,0.000118266997060699,"al"
"99",1,1,1,1,5,2,5,1,362,7.57746069663238e-05,"al"
"100",1,1,1,1,5,2,5,2,465,9.73347851915486e-05,"al"
"101",1,1,1,1,6,1,1,1,61867,0.0129501315170872,"al"
"102",1,1,1,1,6,1,1,2,50162,0.0105000161178031,"al"
"103",1,1,1,1,6,1,2,1,5625,0.0011774369176397,"al"
"104",1,1,1,1,6,1,2,2,8755,0.0018326151491441,"al"
"105",1,1,1,1,6,1,3,1,980,0.000205135676317672,"al"
"106",1,1,1,1,6,1,3,2,821,0.000171853459445723,"al"
"107",1,1,1,1,6,1,4,1,1712,0.000358359467199852,"al"
"108",1,1,1,1,6,1,4,2,1130,0.000236533994121398,"al"
"109",1,1,1,1,6,1,5,1,1047,0.000219160258270003,"al"
"110",1,1,1,1,6,1,5,2,934,0.000195506858857863,"al"
"111",1,1,1,1,6,2,1,1,19357,0.00405184825151141,"al"
"112",1,1,1,1,6,2,1,2,21394,0.004478237407286,"al"
"113",1,1,1,1,6,2,2,1,2683,0.000561611244449301,"al"
"114",1,1,1,1,6,2,2,2,3155,0.00066041128447169,"al"
