"","ST","age","education","race","sex","n","weighted_share_of_state","state"
"96",1,3,1,5,2,1006,0.000210578051403651,"al"
"97",1,3,2,1,1,100420,0.0210201271590007,"al"
"98",1,3,2,1,2,86758,0.0181603683734374,"al"
"99",1,3,2,2,1,45881,0.00960390812768482,"al"
"100",1,3,2,2,2,40396,0.00845577630666193,"al"
"101",1,3,2,3,1,5244,0.00109768519041824,"al"
"102",1,3,2,3,2,3713,0.000777213026701548,"al"
"103",1,3,2,4,1,1225,0.00025641959539709,"al"
"104",1,3,2,4,2,1615,0.000338055221686776,"al"
"105",1,3,2,5,1,2381,0.000498395964604467,"al"
"106",1,3,2,5,2,1711,0.00035815014508116,"al"
"107",1,3,3,1,1,72781,0.0152346731204862,"al"
"108",1,3,3,1,2,77700,0.0162643286223297,"al"
"109",1,3,3,2,1,25844,0.00540972083546319,"al"
"110",1,3,3,2,2,36456,0.00763104715901741,"al"
"111",1,3,3,3,1,2409,0.000504256983927829,"al"
"112",1,3,3,3,2,2255,0.000472021377649338,"al"
"113",1,3,3,4,1,674,0.000141083107998073,"al"
"114",1,3,3,4,2,920,0.000192576349196182,"al"
"115",1,3,3,5,1,1707,0.000357312856606394,"al"
"116",1,3,3,5,2,1915,0.000400851857294227,"al"
"117",1,3,4,1,1,25277,0.0052910351941651,"al"
"118",1,3,4,1,2,35128,0.00735306738539509,"al"
"119",1,3,4,2,1,7641,0.00159943030892177,"al"
"120",1,3,4,2,2,15451,0.0032342360559024,"al"
"121",1,3,4,3,1,759,0.00015887548808685,"al"
"122",1,3,4,3,2,900,0.000188389906822352,"al"
"123",1,3,4,4,1,357,7.47279963728663e-05,"al"
"124",1,3,4,4,2,506,0.0001059169920579,"al"
"125",1,3,4,5,1,402,8.41474917139839e-05,"al"
"126",1,3,4,5,2,1056,0.000221044157338226,"al"
"127",1,3,5,1,1,53453,0.0111888952104169,"al"
"128",1,3,5,1,2,62805,0.0131464756644198,"al"
"129",1,3,5,2,1,9540,0.00199693301231693,"al"
"130",1,3,5,2,2,15852,0.00331817422549769,"al"
"131",1,3,5,3,1,1437,0.000300795884559689,"al"
"132",1,3,5,3,2,1714,0.000358778111437235,"al"
"133",1,3,5,4,1,1251,0.000261861970483069,"al"
"134",1,3,5,4,2,1751,0.000366523029828821,"al"
"135",1,3,5,5,1,807,0.000168922949784042,"al"
"136",1,3,5,5,2,1146,0.000239883148020462,"al"
"137",1,3,6,1,1,28642,0.00599540412356201,"al"
"138",1,3,6,1,2,32348,0.00677115189543272,"al"
"139",1,3,6,2,1,3258,0.000681971462696915,"al"
"140",1,3,6,2,2,8920,0.0018671532987282,"al"
"141",1,3,6,3,1,615,0.000128733102995274,"al"
"142",1,3,6,3,2,744,0.000155735656306478,"al"
"143",1,3,6,4,1,2296,0.000480603584515689,"al"
"144",1,3,6,4,2,1688,0.000353335736351256,"al"
"145",1,3,6,5,1,340,7.11695203551108e-05,"al"
"146",1,3,6,5,2,746,0.000156154300543861,"al"
"147",1,4,1,1,1,46967,0.00983123194858379,"al"
"148",1,4,1,1,2,39989,0.00837058220435449,"al"
"149",1,4,1,2,1,23234,0.00486339010567836,"al"
"150",1,4,1,2,2,21923,0.00458896880807381,"al"
"151",1,4,1,3,1,2594,0.000542981575885757,"al"
"152",1,4,1,3,2,1532,0.000320681485835382,"al"
"153",1,4,1,4,1,374,7.82864723906219e-05,"al"
"154",1,4,1,4,2,851,0.000178133123006468,"al"
"155",1,4,1,5,1,1300,0.000272118754298953,"al"
"156",1,4,1,5,2,1410,0.000295144187355018,"al"
"157",1,4,2,1,1,101246,0.0211930272290398,"al"
"158",1,4,2,1,2,117290,0.0245513913013263,"al"
"159",1,4,2,2,1,37468,0.00784288114313321,"al"
"160",1,4,2,2,2,39298,0.00822594062033866,"al"
"161",1,4,2,3,1,1327,0.000277770451503624,"al"
"162",1,4,2,3,2,1844,0.00038598998686713,"al"
"163",1,4,2,4,1,413,8.64500350195905e-05,"al"
"164",1,4,2,4,2,1340,0.000280491639046613,"al"
"165",1,4,2,5,1,2157,0.000451507810017571,"al"
"166",1,4,2,5,2,2094,0.000438320516540006,"al"
"167",1,4,3,1,1,70262,0.0147073907035023,"al"
"168",1,4,3,1,2,78126,0.0163534998448923,"al"
"169",1,4,3,2,1,21238,0.00444558315677013,"al"
"170",1,4,3,2,2,28685,0.00600440497466574,"al"
"171",1,4,3,3,1,747,0.000156363622662552,"al"
"172",1,4,3,3,2,1116,0.000233603484459717,"al"
"173",1,4,3,4,1,304,6.36339240822167e-05,"al"
"174",1,4,3,4,2,614,0.000128523780876582,"al"
"175",1,4,3,5,1,1792,0.000375105236695172,"al"
"176",1,4,3,5,2,1942,0.000406503554498897,"al"
"177",1,4,4,1,1,21362,0.00447153909948787,"al"
"178",1,4,4,1,2,28524,0.00597070411355641,"al"
"179",1,4,4,2,1,7081,0.00148220992245453,"al"
"180",1,4,4,2,2,10689,0.00223744412669347,"al"
"181",1,4,4,3,1,401,8.39381695952924e-05,"al"
"182",1,4,4,3,2,359,7.51466406102493e-05,"al"
"183",1,4,4,4,1,91,1.90483128009267e-05,"al"
"184",1,4,4,4,2,321,6.71924000999722e-05,"al"
"185",1,4,4,5,1,644,0.000134803444437327,"al"
"186",1,4,4,5,2,942,0.000197181435807395,"al"
"187",1,4,5,1,1,57425,0.0120203226658595,"al"
"188",1,4,5,1,2,47216,0.00988335315613797,"al"
"189",1,4,5,2,1,7820,0.00163689896816755,"al"
"190",1,4,5,2,2,12428,0.00260145529109799,"al"
"191",1,4,5,3,1,729,0.000152595824526105,"al"
"192",1,4,5,3,2,468,9.79627515476231e-05,"al"
"193",1,4,5,4,1,684,0.000143176329184988,"al"
"194",1,4,5,4,2,850,0.000177923800887777,"al"
"195",1,4,5,5,1,702,0.000146944127321435,"al"
"196",1,4,5,5,2,578,0.000120988184603688,"al"
"197",1,4,6,1,1,34350,0.0071902147770531,"al"
"198",1,4,6,1,2,35726,0.00747824201237261,"al"
"199",1,4,6,2,1,4105,0.000859267297228617,"al"
"200",1,4,6,2,2,8044,0.00168378712275444,"al"
"201",1,4,6,3,1,648,0.000135640732912094,"al"
"202",1,4,6,3,2,332,6.94949434055788e-05,"al"
"203",1,4,6,4,1,1065,0.00022292805640645,"al"
"204",1,4,6,4,2,655,0.000137105987742934,"al"
"205",1,4,6,5,1,754,0.000157828877493393,"al"
"206",1,4,6,5,2,563,0.000117848352823316,"al"
"207",1,5,1,1,1,49651,0.0103930525151518,"al"
"208",1,5,1,1,2,75523,0.0158086343699383,"al"
"209",1,5,1,2,1,20446,0.00427980003876646,"al"
"210",1,5,1,2,2,32753,0.00685592735350278,"al"
"211",1,5,1,3,1,768,0.000160759387155074,"al"
"212",1,5,1,3,2,983,0.000205763642673747,"al"
"213",1,5,1,4,1,287,6.00754480644612e-05,"al"
"214",1,5,1,4,2,907,0.000189855161653193,"al"
"215",1,5,1,5,1,1030,0.000215601782252247,"al"
"216",1,5,1,5,2,979,0.000204926354198981,"al"
"217",1,5,2,1,1,71716,0.0150117450640798,"al"
"218",1,5,2,1,2,121729,0.0254805721861979,"al"
"219",1,5,2,2,1,13384,0.00280156723656707,"al"
"220",1,5,2,2,2,19593,0.0041012482715226,"al"
"221",1,5,2,3,1,435,9.10551216308035e-05,"al"
"222",1,5,2,3,2,1187,0.000248465354886813,"al"
"223",1,5,2,4,1,10,2.09322118691502e-06,"al"
"224",1,5,2,4,2,739,0.00015468904571302,"al"
"225",1,5,2,5,1,754,0.000157828877493393,"al"
"226",1,5,2,5,2,994,0.000208066185979353,"al"
"227",1,5,3,1,1,42867,0.00897301126194863,"al"
"228",1,5,3,1,2,54321,0.0113705868094411,"al"
"229",1,5,3,2,1,5134,0.00107465975736217,"al"
"230",1,5,3,2,2,8837,0.00184977956287681,"al"
"231",1,5,3,3,1,591,0.000123709372146678,"al"
"232",1,5,3,3,2,461,9.64974967167826e-05,"al"
"233",1,5,3,4,1,41,8.5822068663516e-06,"al"
"234",1,5,3,4,2,280,5.86101932336206e-05,"al"
"235",1,5,3,5,1,704,0.000147362771558818,"al"
"236",1,5,3,5,2,620,0.000129779713588731,"al"
"237",1,5,4,1,1,8120,0.001699695603775,"al"
"238",1,5,4,1,2,10178,0.00213048052404211,"al"
"239",1,5,4,2,1,1396,0.000292213677693337,"al"
"240",1,5,4,2,2,2683,0.000561611244449301,"al"
"241",1,5,4,3,1,122,2.55372984803633e-05,"al"
"242",1,5,4,3,2,132,2.76305196672783e-05,"al"
"243",1,5,4,4,1,117,2.44906878869058e-05,"al"
"244",1,5,4,4,2,56,1.17220386467241e-05,"al"
"245",1,5,4,5,1,129,2.70025533112038e-05,"al"
"246",1,5,4,5,2,203,4.2492390094375e-05,"al"
"247",1,5,5,1,1,31833,0.00666335100430659,"al"
"248",1,5,5,1,2,23015,0.00481754856168493,"al"
"249",1,5,5,2,1,1692,0.000354173024826022,"al"
"250",1,5,5,2,2,3914,0.00081928677255854,"al"
"251",1,5,5,3,1,218,4.56322218747475e-05,"al"
"252",1,5,5,3,2,205,4.2911034331758e-05,"al"
"253",1,5,5,4,1,262,5.48423950971736e-05,"al"
"254",1,5,5,4,2,137,2.86771302607358e-05,"al"
"255",1,5,5,5,1,414,8.6659357138282e-05,"al"
"256",1,5,5,5,2,190,3.97712025513854e-05,"al"
"257",1,5,6,1,1,25229,0.00528098773246791,"al"
"258",1,5,6,1,2,16639,0.00348291073290791,"al"
"259",1,5,6,2,1,2827,0.000591753629540877,"al"
"260",1,5,6,2,2,4514,0.000944880043773441,"al"
"261",1,5,6,3,1,279,5.84008711149291e-05,"al"
"262",1,5,6,3,2,164,3.43288274654064e-05,"al"
"263",1,5,6,4,1,498,0.000104242415108368,"al"
"264",1,5,6,4,2,182,3.80966256018534e-05,"al"
"265",1,5,6,5,1,228,4.77254430616625e-05,"al"
"266",1,5,6,5,2,208,4.35390006878325e-05,"al"
"267",2,1,1,1,1,50217,0.0706148868224074,"ak"
"268",2,1,1,1,2,47097,0.0662275588879249,"ak"
"269",2,1,1,2,1,2931,0.00412155710768218,"ak"
"270",2,1,1,2,2,2799,0.00393593938737715,"ak"
"271",2,1,1,3,1,7521,0.0105759914728344,"ak"
"272",2,1,1,3,2,7306,0.0102736595799134,"ak"
"273",2,1,1,4,1,4089,0.0057499307449036,"ak"
"274",2,1,1,4,2,4614,0.00648818304157134,"ak"
"275",2,1,1,5,1,30630,0.0430717482798721,"ak"
"276",2,1,1,5,2,27891,0.0392201805835427,"ak"
"277",2,1,2,1,1,137,0.00019264869455901,"ak"
"278",2,1,2,1,2,309,0.00043451420889587,"ak"
"279",2,1,2,2,1,39,5.48415991810321e-05,"ak"
"280",2,1,2,3,1,11,1.54681433587526e-05,"ak"
"281",2,1,2,3,2,15,2.10929227619354e-05,"ak"
"282",2,1,2,4,2,83,0.000116714172616043,"ak"
"283",2,1,2,5,1,195,0.000274207995905161,"ak"
"284",2,1,2,5,2,139,0.000195461084260602,"ak"
"285",2,1,3,1,1,18,2.53115073143225e-05,"ak"
"286",2,1,3,1,2,142,0.000199679668812989,"ak"
"287",2,1,3,2,1,14,1.96867279111397e-05,"ak"
"288",2,1,3,4,1,18,2.53115073143225e-05,"ak"
"289",2,1,3,5,1,5,7.03097425397848e-06,"ak"
"290",2,1,3,5,2,13,1.8280533060344e-05,"ak"
"291",2,2,1,1,1,4822,0.00678067157053684,"ak"
"292",2,2,1,1,2,3104,0.00436482881686984,"ak"
"293",2,2,1,2,1,299,0.000420452260387913,"ak"
"294",2,2,1,2,2,326,0.000458419521359397,"ak"
"295",2,2,1,3,1,1105,0.00155384531012924,"ak"
"296",2,2,1,3,2,644,0.000905589483912428,"ak"
"297",2,2,1,4,1,971,0.00136541520012262,"ak"
"298",2,2,1,4,2,624,0.000877465586896514,"ak"
"299",2,2,1,5,1,4225,0.00594117324461181,"ak"
"300",2,2,1,5,2,3969,0.00558118736280811,"ak"
"301",2,2,2,1,1,19838,0.027896093450085,"ak"
"302",2,2,2,1,2,10993,0.0154582999947971,"ak"
"303",2,2,2,2,1,1792,0.00251990117262589,"ak"
"304",2,2,2,2,2,567,0.000797312480401159,"ak"
"305",2,2,2,3,1,2022,0.0028433259883089,"ak"
"306",2,2,2,3,2,1532,0.00215429051141901,"ak"
"307",2,2,2,4,1,1559,0.00219225777239049,"ak"
"308",2,2,2,4,2,1352,0.00190117543827578,"ak"
"309",2,2,2,5,1,9864,0.0138707060082487,"ak"
"310",2,2,2,5,2,7808,0.0109795693950128,"ak"
"311",2,2,3,1,1,22211,0.0312329938310232,"ak"
"312",2,2,3,1,2,18793,0.0264266198310035,"ak"
"313",2,2,3,2,1,1562,0.00219647635694288,"ak"
"314",2,2,3,2,2,1357,0.00190820641252976,"ak"
"315",2,2,3,3,1,2784,0.00391484646461522,"ak"
"316",2,2,3,3,2,1862,0.00261833481218158,"ak"
"317",2,2,3,4,1,1140,0.00160306212990709,"ak"
"318",2,2,3,4,2,1482,0.00208398076887922,"ak"
"319",2,2,3,5,1,5640,0.00793093895848772,"ak"
"320",2,2,3,5,2,6550,0.0092105762727118,"ak"
"321",2,2,4,1,1,4222,0.00593695466005943,"ak"
"322",2,2,4,1,2,3473,0.00488371471681345,"ak"
"323",2,2,4,2,1,313,0.000440138988299053,"ak"
"324",2,2,4,2,2,211,0.000296707113517892,"ak"
"325",2,2,4,3,1,336,0.000472481469867354,"ak"
"326",2,2,4,3,2,682,0.000959024888242664,"ak"
"327",2,2,4,4,1,121,0.000170149576946279,"ak"
"328",2,2,4,4,2,225,0.000316393841429031,"ak"
"329",2,2,4,5,1,428,0.000601851396140558,"ak"
"330",2,2,4,5,2,664,0.000933713380928342,"ak"
"331",2,2,5,1,1,6810,0.00957618693391869,"ak"
"332",2,2,5,1,2,10485,0.0147439530105929,"ak"
"333",2,2,5,2,1,302,0.0004246708449403,"ak"
"334",2,2,5,2,2,262,0.000368423050908472,"ak"
"335",2,2,5,3,1,122,0.000171555771797075,"ak"
"336",2,2,5,3,2,751,0.00105605233294757,"ak"
"337",2,2,5,4,1,631,0.000887308950852084,"ak"
